task,measure,ce,bacc,logloss,auc,mcc,catboost.learning_rate,catboost.depth,catboost.l2_leaf_reg
APSFailure,ce,0.0045921052631579,0.903408048691538,0.0172930344039257,0.992249857342845,0.864118496509197,-2.29565597572155,10,0.277131512136897
Amazon_employee_access,ce,0.0422349799524044,0.695093419445598,0.13547965989618,0.899996891163175,0.530785555168365,-2.59996258354897,13,6.53044644824904
Australian,ce,0.0898550724637681,0.908382308127639,0.678928983704781,0.931907114767896,0.818915195040673,-5.72095822387636,3,113.714986846073
Bioresponse,ce,0.177816312056738,0.819372651915336,0.44163792158001,0.877268171099295,0.641703624229557,-1.07541863441249,11,799.88148121707
GesturePhaseSegmentationProcessed,ce,0.263649098195571,0.684786073381669,0.825158725011493,0.935372397067161,0.653231761806175,-2.52467296210788,16,0.0340209401845932
Internet-Advertisements,ce,0.016162265980458,0.948686401480111,0.0828537110166223,0.983911330386816,0.931549100354973,-1.76800385421772,16,0.42568709311937
KDDCup09_appetency,ce,0.01742,0.51122577383036,0.0848492597401016,0.771141258216479,0.123903397458736,-0.43825700566804,13,168.591266003645
MiceProtein,ce,0.00185185185185185,0.998333333333333,0.147195225735152,1,0.997900211310327,-1.69194674556715,7,0.0905831303771119
PhishingWebsites,ce,0.0220712199193212,0.9769907758922,0.0640317428055235,0.997305696217207,0.955362765951338,-1.31119772298492,10,7.70689078390459
adult,ce,0.122169501314844,0.80550741130765,0.274007625606361,0.930321760783956,0.64934140662589,-2.25467940461531,15,8.38126241562585
analcatdata_authorship,ce,0,1,0.146725378748422,1,1,-1.75103855952825,9,0.664348043090431
analcatdata_dmft,ce,0.707674050632911,0.29248778998779,1.89678590238774,0.597783477740209,0.151703209017013,-0.0434840941076156,9,2.89156324053393
balance-scale,ce,0.023963133640553,0.9,0.159731555553713,0.994893267651888,0.958503323656066,-0.00170343325598224,1,1.33194035173976
bank-marketing,ce,0.0870141756279923,0.733313939093181,0.197336484700976,0.935960668144913,0.532801016394245,-2.79825123602981,16,19.8874833424145
banknote-authentication,ce,0,1,0.0509599863254868,1,1,-0.439116244438973,1,61.5153547015251
blood-transfusion-service-center,ce,0.171117117117117,0.694229446164431,0.475319268937901,0.747110423116615,0.476849244159116,-0.0367266930908877,16,147.80165747918
breast-w,ce,0.0114699792960663,0.990235507246377,0.685697932301028,0.989677173913044,0.97551000757978,-5.65290904820229,15,405.891451909984
car,ce,0,1,0.0548157586479297,1,1,-1.56975777602847,7,0.0550257356970105
christine,ce,0.237918710055862,0.762084870848709,0.521121093445522,0.822634924381224,0.52460240327711,-2.04440706129425,13,625.547706909003
churn,ce,0.0334,0.896554674171772,0.1479581190945,0.923465134057993,0.856660754345414,-2.32055878779221,12,94.2374695733295
climate-model-simulation-crashes,ce,0.0277777777777778,0.835,0.1406507009248,0.925780612244898,0.794983212892707,-0.0530214961651685,9,38.9076298718401
cmc,ce,0.392379113807685,0.584501297072455,0.89203965320154,0.773388017576357,0.39023099583695,-0.649335560131125,10,5.01262383594038
cnae-9,ce,0.0388888888888889,0.961111111111111,0.269954065147887,0.99837962962963,0.956697798380901,-1.94600123520363,12,0.0948797827784438
connect-4,ce,0.122400408179543,0.736629289459983,0.314790707504814,0.945321552993241,0.747129304610438,-0.17795902375422,16,202.323955249961
credit-approval,ce,0.0942028985507246,0.903388620434461,0.668159152262883,0.936225385631158,0.810899513360687,-5.53043866791985,4,181.201129620403
credit-g,ce,0.188,0.739047619047619,0.493953584954567,0.804619047619048,0.529061013934172,-0.943523417978338,5,19.4584842300867
cylinder-bands,ce,0.122222222222222,0.864759777827362,0.377785419145193,0.902721176526839,0.751923620182138,-0.747763788749326,9,47.7975724922435
diabetes,ce,0.183578263841422,0.774094017094017,0.501722093542979,0.834990028490029,0.586663691632945,-1.38698935307912,7,31.4417504542894
dilbert,ce,0.0089,0.991166680545179,0.0360845569721519,0.999877897854594,0.988892087862179,-1.65906868898331,9,0.0913158476799727
dna,ce,0.0269957216931843,0.973063289841984,0.12685108569349,0.996577516149468,0.956508017379282,-2.29106328547668,10,1.35439661203325
dresses-sales,ce,0.292,0.676683087027915,0.655151412901681,0.631773399014778,0.400655103101768,-0.0795574774486372,8,619.38057577927
electricity,ce,0.0532971353759324,0.944980251712449,0.144685882138614,0.987188684471859,0.890868387262792,-2.13338374571473,11,2.8602475502782
eucalyptus,ce,0.260977415771936,0.706598956598957,0.747109938955268,0.922979636525091,0.667739896217412,-0.754039219384957,10,9.71063605153118
fabert,ce,0.257742954381909,0.717593458916131,0.780016583174147,0.956602109126753,0.691506063923027,-2.14858493745583,15,0.494288711025147
first-order-theorem-proving,ce,0.357473551340886,0.526286350221959,1.09965629373063,0.864332257942981,0.514402851056083,-1.75726392423805,14,1.60605043024989
har,ce,0.00572843839338787,0.994420557808724,0.0244680608837777,0.999911184951395,0.993118298764244,-1.50041548766969,8,0.0834473439462017
higgs,ce,0.263243243243243,0.735374169807923,0.522093494016807,0.81457277713481,0.471331551189975,-2.40984439294272,16,596.730331897682
ilpd,ce,0.205756867329047,0.680446385871422,0.534374355901515,0.748846459315434,0.438821754078638,-0.18917981436238,6,32.2790931290488
jannis,ce,0.267325953110911,0.554056733431677,0.675191553524896,0.862430345808218,0.575506658309927,-3.07626356347432,16,61.5338854690318
jasmine,ce,0.164218536059797,0.835791946308725,0.409525797699834,0.882950707926069,0.692334152318821,-1.64864442411112,16,84.6090900194722
jm1,ce,0.171061382541998,0.608988079575985,0.431911081137167,0.744333187398078,0.327566883996731,-0.637414041170149,16,40.0516071708584
jungle_chess_2pcs_raw_endgame_complete,ce,0.123630652939811,0.827730123723105,0.253572472369326,0.977700267476602,0.784226239652358,-0.116134918464257,4,18.6790862924992
kc1,ce,0.116648612051456,0.665272598402581,0.339959665278142,0.814381952924829,0.471399944171121,-0.852592420621446,9,39.7286292487422
kc2,ce,0.10555152394775,0.785027452222574,0.351488051192593,0.855831749551262,0.649225012635774,-1.23534918349048,15,49.1931612343437
kr-vs-kp,ce,0.00218847962382445,0.997847249257934,0.0273632848002353,0.999619774898088,0.995653408220961,-0.203754206574169,12,53.5870787726273
madelon,ce,0.121923076923077,0.878076923076923,0.392409311627318,0.926727810650888,0.756483096809038,-0.114471909153143,8,537.535507062417
mfeat-factors,ce,0.019,0.981,0.102784928055601,0.999566666666667,0.978978226195893,-2.15351500535914,10,0.0214613693335559
mfeat-fourier,ce,0.133,0.867,0.429822735583419,0.988461111111111,0.852926722859943,-0.978531149318468,14,45.8467814747633
mfeat-karhunen,ce,0.0235,0.9765,0.16861781110948,0.999644444444444,0.974004704706347,-2.57447438403279,15,1.26912247406924
mfeat-morphological,ce,0.2395,0.7605,0.629918411691024,0.971438888888889,0.735330395807102,-0.0712813832094783,1,1.52619914538437
mfeat-pixel,ce,0.0135,0.9865,0.0928487560652648,0.999805555555556,0.98506008398692,-1.67797837638592,15,0.160865318188211
mfeat-zernike,ce,0.187,0.813,0.480687032237572,0.980336111111111,0.792795843585879,-1.01349411420354,2,5.81447058324819
nomao,ce,0.0232990626148622,0.970553079671458,0.0738938244847456,0.996433197850086,0.942839719875487,-1.86227051378614,14,1.710747979576
numerai28.6,ce,0.472840531561462,0.526019287474356,0.692009716601884,0.529436579563101,0.0534160117734809,-2.86259176485869,14,213.804098937907
optdigits,ce,0.0103202846975089,0.989675963026689,0.0454967008988502,0.999899451077332,0.988555974151341,-2.47932087934144,10,0.0164410800153855
ozone-level-8hr,ce,0.0430160903800068,0.682691668439528,0.154066038139802,0.908602254192816,0.542231611609006,-1.17187762633425,14,18.9656805048073
pc1,ce,0.0468877968877969,0.679798356982823,0.194491541875476,0.799766616878267,0.550401891055422,-0.399414186452655,8,10.4126204386544
pc3,ce,0.0793320267842561,0.634647922998987,0.267450048159033,0.824599480749747,0.424080267649381,-0.813428043351422,8,2.37603410300612
pc4,ce,0.0644638639584317,0.770184844771242,0.178561591126418,0.952361621732026,0.660105949652774,-1.58028322460478,9,20.7854925418485
pendigits,ce,0.00418446521631235,0.995791757901727,0.0235365032214105,0.999943783027306,0.99535393085737,-2.07447689856271,13,0.426729940529447
phoneme,ce,0.0764236325049634,0.904647604145741,0.218073863054905,0.965131525622771,0.814706123026855,-0.288963956404331,14,45.7443342313578
qsar-biodeg,ce,0.0966846361185984,0.88643547273982,0.309373098140988,0.931559745637385,0.782998843739506,-0.0524852267149747,16,811.313910270435
robert,ce,0.4477,0.553131514756182,1.30740447305098,0.930067617690932,0.502952256300324,-2.34585024041839,12,8.79632755918754
satimage,ce,0.0710730948678072,0.909273914648973,0.264662818894394,0.99297535085273,0.912399629365671,-1.63759081210363,10,0.00436859038379043
segment,ce,0.0484848484848485,0.951515151515152,0.182534234691447,0.996545542000087,0.943682474035604,-0.725420478538629,16,13.262427414265
semeion,ce,0.0382822327044025,0.961610294117647,0.273346641473232,0.998986145152506,0.957715984876223,-2.88383100632834,16,0.0579999113648664
shuttle,ce,3.44827586206897e-05,0.996302521008403,0.00391807886059365,0.999998931110042,0.999903026760349,-2.08300119460102,13,7.50193250156101
