task,measure,ce,bacc,auc,logloss,mcc,alpha,lambda
APSFailure,auc,0.0176842105263158,0.513413200031502,0.976361257375409,0.063297340772268,0.145292096908498,0.517632445087656,-2.39861148190612
APSFailure,bacc,0.146776315789474,0.761099601212801,0.761429948126082,5.06947435637848,0.308323169726845,0.659482490504161,-9.04521392367658
APSFailure,ce,0.0171447368421053,0.535096432737099,0.976522822615785,0.0593819716580036,0.23359322068084,0.203857032814994,-1.7496874614658
APSFailure,logloss,0.0172105263157895,0.536843668132035,0.977090919337907,0.0583621182518266,0.231540527558074,0.0903251825366169,-1.10662255306465
APSFailure,mcc,0.131618421052632,0.735338430234518,0.735681213886291,4.5455558512811,0.315134479798723,0.522224550601095,-8.80848766983411
Amazon_employee_access,auc,0.0579206073484377,0.524717595908986,0.770018335290937,0.205708673574901,0.147458506263885,0.461530197644606,-9.20654466637946
Amazon_employee_access,bacc,0.057737503739945,0.525802610907622,0.768773814591967,0.206195129181147,0.152933222194966,0.934924334054813,-9.20643463896569
Amazon_employee_access,ce,0.0571576958287364,0.514485014643808,0.766256174954267,0.202622450435019,0.130378617434063,0.99227615329437,-6.58297408675736
Amazon_employee_access,logloss,0.0579511044341682,0.501205200773632,0.767636541441024,0.199693531658725,0.0199609886119278,0.612971916561946,-5.35221766535081
Amazon_employee_access,mcc,0.0577680194555385,0.52578641395265,0.764785548573618,0.208003823995318,0.152728898177589,0.833391907159239,-9.19466546705669
Australian,auc,0.139130434782609,0.861329720081842,0.931771654114608,0.338976953495515,0.721657610651656,0.938122261781245,-6.37038110277352
Australian,bacc,0.131884057971015,0.870480605981455,0.928926109732561,0.337423466951976,0.73867052685432,0.544700185768306,-3.93064393493065
Australian,ce,0.133333333333333,0.869812807452875,0.929019125564117,0.341515381572632,0.73703761044347,0.552499467274174,-3.40407793419797
Australian,logloss,0.140579710144928,0.858771712158809,0.930283183143964,0.335260129865772,0.717609968682351,0.0240526648703963,-3.9068064361217
Australian,mcc,0.133333333333333,0.868867702755648,0.928676084338224,0.34001935023066,0.735582590840481,0.377020447747782,-3.3314332027584
Bioresponse,auc,0.223937588652482,0.772133371208892,0.847862986061629,0.48634094001604,0.548018201432213,0.0287118153646588,-2.52565920246408
Bioresponse,bacc,0.219935460992908,0.776190160922062,0.842949809439291,0.490681809532564,0.556284337936444,0.841092267539352,-4.6159177893441
Bioresponse,ce,0.217803546099291,0.778426465199116,0.84438386988799,0.489207671345015,0.560641391847509,0.442241991870105,-4.07436122469795
Bioresponse,logloss,0.22473829787234,0.77125886342663,0.847802749597708,0.486283982559469,0.546366685952175,0.0322290055919439,-2.61095831311229
Bioresponse,mcc,0.219402127659574,0.776727656622097,0.842946945504896,0.490807893126479,0.557362268886435,0.759674326283857,-4.50825473834511
GesturePhaseSegmentationProcessed,auc,0.526893953377716,0.355686417051431,0.789197302161039,1.28365111997313,0.293164194735174,0.175626872805879,-5.12361040445103
GesturePhaseSegmentationProcessed,bacc,0.526994757761835,0.357519417175289,0.788523794216156,1.28371119561646,0.293385915410349,0.00322070298716426,-4.91902813586689
GesturePhaseSegmentationProcessed,ce,0.526286255737544,0.356015796434941,0.789077392882347,1.28392517802273,0.294146581604781,0.167316646315157,-5.0436905380936
GesturePhaseSegmentationProcessed,logloss,0.527703464881516,0.352566171487548,0.788976472771076,1.28472176711306,0.291784888348311,0.771995768416673,-5.56543068687866
GesturePhaseSegmentationProcessed,mcc,0.52618493861495,0.356177037278965,0.78910223391246,1.28390254658084,0.294278519625941,0.159557741368189,-5.03342282821937
Internet-Advertisements,auc,0.0356781904975013,0.878090759584747,0.95547315585706,0.131751513031588,0.844771930816375,0.583968440303579,-3.78889411322508
Internet-Advertisements,bacc,0.0277494965316626,0.914610956932881,0.982540942885531,0.0893193937503693,0.880717389539964,0.000713825225830078,-3.46539977510921
Internet-Advertisements,ce,0.0320196539121355,0.892043889402816,0.956330986398054,0.124010031829939,0.86168591012897,0.830909358337522,-4.36474278390414
Internet-Advertisements,logloss,0.0280543745804431,0.913524000411142,0.982533405283174,0.0892326677607368,0.879305863342377,0.000737605150789022,-3.51869664432063
Internet-Advertisements,mcc,0.0320196539121355,0.892043889402816,0.956388460616028,0.122175934212496,0.86168591012897,0.935214925557375,-4.55289445643977
KDDCup09_appetency,auc,0.0178,0.5,0.794579698406924,0.0864195863628026,0,0.844519436825067,-4.42070972002617
KDDCup09_appetency,bacc,0.0652,0.506761020318981,0.695658336364821,0.151676488096468,0.0134150919763012,0.0303002272266895,-6.92181187081485
KDDCup09_appetency,ce,0.0178,0.5,0.5,0.0893489430112593,0,0.440663100057282,-1.34098917316193
KDDCup09_appetency,logloss,0.0178,0.5,0.789074515133421,0.0799346515379102,0,0.967732762685046,-5.83368977932299
KDDCup09_appetency,mcc,0.01788,0.502165741204679,0.710924340908623,0.0955964909939903,0.0333142936559545,0.0584541142452508,-8.52665590202606
MiceProtein,auc,0.0935185185185185,0.907662337662338,0.996483755647806,0.673301942844897,0.894045105801481,0.0266256690956652,-2.13756327238443
MiceProtein,bacc,0.0907407407407407,0.911426906426906,0.996485763713001,0.668576517837517,0.897284671461764,0.0137765314429998,-2.06096051767832
MiceProtein,ce,0.087962962962963,0.912790542790543,0.996570284764947,0.672902712798684,0.900324208655746,0.0312883441802114,-2.16163016295394
MiceProtein,logloss,0.118518518518519,0.882743922743923,0.995083927061949,0.72967388543652,0.865918188821128,0.181468012975529,-2.6394554261454
MiceProtein,mcc,0.119444444444444,0.881645021645022,0.995109592788164,0.730454972120943,0.864940528647207,0.178911178605631,-2.63498717401478
PhishingWebsites,auc,0.0644042777773232,0.933351524271102,0.98415852534865,0.156220624006889,0.869507304668626,0.579931216314435,-9.15280643515447
PhishingWebsites,bacc,0.0637710390874948,0.933961790713864,0.984152714041362,0.15619417812485,0.870806369995895,0.867617415962741,-8.75888054468185
PhishingWebsites,ce,0.0637710390874948,0.933961790713864,0.984149399272934,0.156214174827407,0.870806369995895,0.58648120588623,-8.50733442081538
PhishingWebsites,logloss,0.0642232823022101,0.933472458617389,0.984153707945417,0.156184048883204,0.869885099996194,0.93637429154478,-8.56103489686288
PhishingWebsites,mcc,0.0637710390874948,0.933961790713864,0.984151057273515,0.156204767795212,0.870806369995895,0.711694785160944,-8.64597167703855
adult,auc,0.15177507739432,0.756371637371353,0.902641708174028,0.323948295929355,0.557463213007817,0.999599320581183,-9.1575682624185
adult,bacc,0.151611289804739,0.756596526573163,0.902633691023497,0.323961111160587,0.557951647948025,0.0403362382203341,-9.18375874983838
adult,ce,0.151529414871278,0.755623911392824,0.902577571436974,0.324063102458975,0.557558495709339,0.936894674086943,-6.92613227173183
adult,logloss,0.151713652332895,0.756353385301155,0.902636618744695,0.323946703547688,0.557583668737472,0.993819205323234,-8.54655068464884
adult,mcc,0.151611289804739,0.756596526573163,0.902633092060906,0.323961330367888,0.557951647948025,0.00210013706237078,-9.20679257331681
