task,measure,ce,bacc,auc,logloss,mcc,learning_rate,feature_fraction,min_data_in_leaf,num_leaves,num_iterations
APSFailure,auc,0.00567105263157895,0.876081451992825,0.994300775109902,0.0201948894827758,0.828737560898179,-2.90266597038892,0.825314524373971,11,215,95
APSFailure,bacc,0.0216315789473684,0.938641702219092,0.972260846495045,0.233767382551109,0.628120253567328,-0.0526164670229719,0.953486383310519,47,170,1
APSFailure,ce,0.00439473684210526,0.904591278793488,0.991262862612612,0.0192628990185027,0.869751344288875,-2.20163020484346,0.487689961749129,64,47,139
APSFailure,logloss,0.00485526315789474,0.898982823785903,0.99232363852817,0.0157056308749056,0.855603622148166,-5.0063037110785,0.339835208375007,17,43,2009
APSFailure,mcc,0.00439473684210526,0.905652844139717,0.992050615011545,0.0179419924994942,0.869847618519659,-2.59032220127474,0.596533005707897,128,42,212
Amazon_employee_access,auc,0.0473311510311816,0.679525836149213,0.871084976336888,0.164159368000702,0.474127024077933,-2.78329504388867,0.376490854285657,136,165,460
Amazon_employee_access,bacc,0.0544722103922592,0.741769462321313,0.846829507529853,0.218099141337397,0.492083226391237,-0.460685683195746,0.484583773021586,166,214,300
Amazon_employee_access,ce,0.0442185480406414,0.702447182776652,0.86536971870639,0.160079602318661,0.518476681855532,-1.65267531577089,0.31933608232066,68,60,176
Amazon_employee_access,logloss,0.0476975259169339,0.66396548709887,0.869680746661491,0.148290628759947,0.457128247999196,-2.32365204242324,0.628495342610404,54,217,785
Amazon_employee_access,mcc,0.0449204467590186,0.72382120215122,0.861327832152101,0.175399101456599,0.530145840530111,-1.01926106584586,0.453918396495283,4,99,109
Australian,auc,0.12463768115942,0.873096730660398,0.956988449204069,0.322896745910382,0.752686087496877,-1.75857596544218,0.918468496738933,12,53,78
Australian,bacc,0.0782608695652174,0.9208325715032,0.93348453847605,0.337861964516484,0.843005417062358,-1.12107556300269,0.680551766441204,25,45,41
Australian,ce,0.0739130434782609,0.92398328327021,0.946089417091115,0.30273116154208,0.850880438195417,-0.565252493870085,0.830772824957967,69,189,66
Australian,logloss,0.108695652173913,0.889610160637325,0.953558835052893,0.275731274614913,0.781773663598702,-1.13126572154214,0.718827336886898,34,125,148
Australian,mcc,0.0797101449275362,0.917768708371425,0.94477711026947,0.309193517720001,0.840573592653084,-1.41283664923804,0.746322080213577,44,246,53
Bioresponse,auc,0.193548936170213,0.803576486166436,0.889245097861877,0.427284674826237,0.609753588282369,-4.17739606961594,0.399602451920509,11,65,446
Bioresponse,bacc,0.174617730496454,0.822866887015643,0.883441298972071,0.46306862343301,0.647941364395077,-2.48226320984655,0.130506238341331,27,70,127
Bioresponse,ce,0.174085815602837,0.823355112666488,0.880511636038275,0.438149656548166,0.648909886008557,-2.79009481815484,0.17551988621708,39,80,112
Bioresponse,logloss,0.186617730496454,0.810795550581408,0.88737728513607,0.420733115235895,0.623712106817477,-5.45818962547279,0.255200649960898,8,92,981
Bioresponse,mcc,0.176487234042553,0.821004250192599,0.884030681120725,0.447708104140337,0.644262237069617,-3.96998717590655,0.281391183612868,5,130,149
Fashion-MNIST,bacc,0.0837857142857143,0.916214285714286,0.995778979591837,0.27571705699857,0.906958147911891,-2.55620825342383,0.574664235184901,146,40,519
Fashion-MNIST,ce,0.0835142857142857,0.916485714285714,0.995764553287982,0.292240985078477,0.907261724332816,-2.66466624594673,0.582541731768288,137,44,585
Fashion-MNIST,mcc,0.0835285714285714,0.916471428571429,0.995843682539683,0.269542582500306,0.907251494525695,-3.22031774571836,0.628069315827452,183,42,886
GesturePhaseSegmentationProcessed,auc,0.27458652769403,0.666744418424638,0.936403018386565,0.771126996994156,0.638506202610167,-4.83564250247593,0.872180995927192,21,200,1258
GesturePhaseSegmentationProcessed,bacc,0.270940444400691,0.678557040843613,0.933324244925594,0.820788894817908,0.643593299644308,-2.5271648102558,0.860178841697052,35,185,383
GesturePhaseSegmentationProcessed,ce,0.265875818843344,0.67880237160896,0.933004949809344,0.873481795140052,0.650137100119033,-2.6444353289101,0.854653836879879,39,125,287
GesturePhaseSegmentationProcessed,logloss,0.281981241975643,0.658271238505761,0.935807707283579,0.75402058271309,0.62880371579368,-6.24031318835827,0.909826113772579,15,213,4620
GesturePhaseSegmentationProcessed,mcc,0.266888887521586,0.674060488853033,0.933501681652401,0.857837929754025,0.648662758232064,-3.40983962765018,0.9897524865577,20,157,411
Internet-Advertisements,auc,0.0216547326023719,0.926247301880974,0.991436855449344,0.0800999894167941,0.907432866404973,-2.70006209476437,0.149150997400284,2,153,142
Internet-Advertisements,bacc,0.0164680763780115,0.956695960530373,0.97957001404735,0.0861162606655578,0.93076249754269,-1.13052486839516,0.252427015756257,5,116,87
Internet-Advertisements,ce,0.0158592526292235,0.950634700380306,0.984055058759037,0.0875827268351368,0.932787421189682,-0.542009442889527,0.287518749409355,2,14,70
Internet-Advertisements,logloss,0.0201294100096964,0.939941412272587,0.988530595813204,0.068506586042406,0.91464230153591,-5.15212478834412,0.264261841424741,4,219,1393
Internet-Advertisements,mcc,0.015552509882897,0.954474766163018,0.983073971288587,0.0859460310460418,0.934450204756907,-1.62055531671608,0.397109812637791,3,153,50
KDDCup09_appetency,auc,0.0178,0.5,0.836303848960943,0.0805071127406697,0,-4.67581050264588,0.744214922352694,180,216,73
KDDCup09_appetency,bacc,0.05766,0.643538925457412,0.763530277135254,0.106292402164049,0.17159393091409,-0.0523525437285918,0.993973017670214,185,112,1
KDDCup09_appetency,ce,0.01748,0.513953312787848,0.786825379393657,0.0844221000122189,0.115658827737685,-1.45629190425298,0.990796433738433,177,170,50
KDDCup09_appetency,logloss,0.01782,0.49998981877418,0.82970263956859,0.0754691179363007,-0.000190400668067672,-5.76620998018236,0.789955906523392,192,237,854
KDDCup09_appetency,mcc,0.01832,0.52786773100515,0.762507006742489,0.0900727673854517,0.156232423884436,-0.934235755290212,0.648193674208596,190,173,128
MiceProtein,auc,0.0268518518518519,0.97263653013653,1,0.221959700364443,0.969642298328698,-2.7609496984648,0.938501146028411,34,121,131
MiceProtein,bacc,0.000925925925925926,0.999166666666667,1,0.0658445285306085,0.998950362958603,-1.42456051643516,0.256835851981305,38,44,52
MiceProtein,ce,0.00185185185185185,0.998273809523809,0.999962061747776,0.134459387759164,0.997900829349274,-1.86223864941136,0.745018460205756,26,58,25
MiceProtein,logloss,0.00277777777777778,0.9975,1,0.0109278071739989,0.996907220698689,-3.03149330630664,0.295200230786577,52,182,1267
MiceProtein,mcc,0.000925925925925926,0.999166666666667,0.99996336996337,0.276139763258415,0.998950466390671,-2.49463144443922,0.590233492502011,3,163,33
PhishingWebsites,auc,0.0248755860669487,0.974181201788457,0.997641056429373,0.061347609540241,0.949658087589233,-1.33252216128784,0.905358449788764,29,248,200
PhishingWebsites,bacc,0.0211673880847373,0.978115016053896,0.996629741449642,0.0760943784765585,0.957150503090634,-0.425169318461946,0.643671369645745,45,244,120
PhishingWebsites,ce,0.0211669789629581,0.977844340156043,0.99697373301301,0.0682572124745983,0.957191646284361,-1.28695574508506,0.900484985811636,4,105,198
PhishingWebsites,logloss,0.0254177542487297,0.973632177463915,0.997659838200279,0.0593451631830497,0.948544547069455,-3.38670740396304,0.714476936357096,5,251,552
PhishingWebsites,mcc,0.021076235752334,0.978092770231486,0.996894858554004,0.0712254801367053,0.957398152727552,-0.929952140795679,0.918149682041258,20,50,179
adult,auc,0.12411459472872,0.802527615003338,0.931908271153075,0.270106216365961,0.643537375020471,-2.82530481236131,0.509945890074596,2,36,262
adult,bacc,0.124196444513742,0.805963391735407,0.928051222759711,0.277511980971894,0.645006334345736,-0.875551302560111,0.4450833668001,36,13,66
adult,ce,0.122804151504254,0.80212814992112,0.930299828834722,0.27484752487734,0.64636068070808,-1.88719817726185,0.339067695103586,11,49,85
adult,logloss,0.124769745087043,0.80071903648728,0.931917879458771,0.269831960602208,0.641192305249462,-4.45416018753946,0.213902987469919,10,28,2267
adult,mcc,0.123049931386677,0.805368514287774,0.929682612879088,0.274319377671412,0.647260359256021,-1.16503641165416,0.483840818307363,122,12,121
analcatdata_authorship,auc,0.199957983193277,0.616612259127789,1,0.835853647973798,0.719405970616695,-3.65029562413927,0.449377976387993,94,170,49
analcatdata_authorship,bacc,0,1,1,0.0694154446341721,1,-0.611636787957762,0.866374592311426,68,157,12
analcatdata_authorship,ce,0,1,1,0.214520172371646,1,-1.71914375018525,0.283859743154608,7,59,16
analcatdata_authorship,logloss,0.00117647058823529,0.999166666666667,1,0.00501340286389514,0.998310896633863,-1.32719605002175,0.751019017118961,1,108,89
analcatdata_authorship,mcc,0,1,1,0.0633945203403735,1,-0.614399600834432,0.923842751979828,22,35,25
analcatdata_dmft,auc,0.738971518987342,0.260921855921856,0.656351863592248,1.738979322339,0.113420451953563,-0.0646532072543515,0.631201350782067,106,241,84
analcatdata_dmft,bacc,0.67125,0.327114621489621,0.640499773019004,1.79042613319534,0.195088990424411,-0.00613407710389978,0.42147342080716,71,96,79
analcatdata_dmft,ce,0.681344936708861,0.317984584859585,0.637993157305657,1.76635791241809,0.183964004713731,-0.517970982358953,0.991630300460383,85,151,61
analcatdata_dmft,logloss,0.747658227848101,0.248143315018315,0.636729012084781,1.72911692921079,0.0986558601098061,-0.47055799893928,0.777902848366648,30,239,36
analcatdata_dmft,mcc,0.671313291139241,0.331187423687424,0.625385548746126,1.8666731164109,0.194631268190285,-0.251030928457394,0.912794554512948,59,190,90
balance-scale,auc,0.0527649769585253,0.775,1,0.19764525129518,0.908658382358368,-0.141079680171756,0.213569007604383,42,165,109
balance-scale,bacc,0.00158730158730159,0.998850574712644,1,0.114195049328436,0.997291580859853,-0.0411568656960326,0.10074013043195,39,95,191
balance-scale,ce,0.00161290322580645,0.998850574712644,0.999310344827586,0.120758308683764,0.997253767798256,-0.0290180443084204,0.28007397109177,23,93,178
balance-scale,logloss,0.0160266257040451,0.988423645320197,0.999761904761905,0.0305563280139938,0.973079951616834,-0.0234142118239086,0.135404758551158,40,44,1997
balance-scale,mcc,0,1,1,0.113337468093337,1,-0.0782488636108912,0.202670000889339,46,44,229
bank-marketing,auc,0.0890049003221587,0.734075862875034,0.939851080171622,0.190482230125106,0.526696379976731,-4.3074618524484,0.60593383021187,19,38,1057
bank-marketing,bacc,0.108314405984515,0.806712387818002,0.90898660344947,0.292519570419341,0.54615861474212,-0.0218531051436077,0.933325281599537,57,227,1
bank-marketing,ce,0.086970001216007,0.735390451233509,0.935615048389247,0.196634963254734,0.534824857686864,-1.71874156779974,0.60683033594396,94,10,150
bank-marketing,logloss,0.0895136471100856,0.740019260301441,0.939764665416566,0.189970241005465,0.529794446849606,-4.81813815108806,0.873043054761365,2,62,1085
bank-marketing,mcc,0.0871027445658528,0.747455411106382,0.937518428227498,0.193995022983444,0.543933425725385,-1.53405028937947,0.901595733617432,67,27,116
banknote-authentication,auc,0.0101978207976304,0.990014763062649,1,0.0663909035811946,0.979600727873671,-2.41068840458616,0.499177754357119,75,203,97
banknote-authentication,bacc,0,1,1,0.044360169828742,1,-0.0831783585484918,0.944594902784479,157,119,23
banknote-authentication,ce,0,1,1,0.0345867976256963,1,-0.311933633601088,0.628657770266418,48,177,22
banknote-authentication,logloss,0,1,1,0.000188014118661437,1,-0.0961319799959886,0.121677641756833,89,120,831
banknote-authentication,mcc,0,1,1,0.0805708545174874,1,-0.71267220971927,0.796140150618062,47,150,8
blood-transfusion-service-center,auc,0.225873873873874,0.548787409700722,0.783840729274166,0.486137756762677,0.134147594639043,-2.73558449076232,0.982011876720935,2,218,49
blood-transfusion-service-center,bacc,0.216558558558559,0.737934296525628,0.743882582272675,0.554818666944284,0.450051086268163,-0.351350320263812,0.509959484054707,22,180,68
blood-transfusion-service-center,ce,0.16845045045045,0.709451324389405,0.720258571264763,0.522178363224711,0.491264316999941,-0.557822232157609,0.980566714447923,26,162,56
blood-transfusion-service-center,logloss,0.196558558558559,0.629557963536292,0.772752551312923,0.453438862879604,0.342732838002461,-1.46043300560472,0.895633330289275,12,120,63
blood-transfusion-service-center,mcc,0.16572972972973,0.713759889920881,0.738370026373122,0.527744615907754,0.500776474500391,-0.0566296492828495,0.570775676891208,31,58,68
breast-w,auc,0.027184265010352,0.971471014492754,0.998015056360708,0.0845369542089406,0.940710627590778,-0.816309351938331,0.893921227240935,30,135,73
breast-w,bacc,0.0157349896480331,0.986974637681159,0.992865297906602,0.12102805838492,0.96645102619813,-1.52221854297084,0.233209549542516,43,64,61
breast-w,ce,0.0114492753623188,0.989239130434783,0.993457367149758,0.0934709902075079,0.975368388430053,-0.662658146580153,0.590588368452154,54,205,57
breast-w,logloss,0.0200207039337474,0.97687077294686,0.997792632850242,0.0468466988234789,0.95669565791655,-0.0213053907665547,0.914458149811253,28,226,67
breast-w,mcc,0.0128778467908903,0.988152173913043,0.992289331723027,0.0874609594466863,0.972327907401682,-0.194950162812675,0.485500289290212,83,243,25
car,auc,0.0104113456109692,0.970955878252529,1,0.091586993609596,0.977568445990473,-0.918559287067051,0.996951106609777,155,83,68
car,bacc,0,1,1,0.0515729027492639,1,-0.269817204937044,0.854086603946053,119,166,60
car,ce,0,1,1,0.0453670849622878,1,-0.0477500667524131,0.622479222808033,110,183,73
car,logloss,0.00115606936416185,0.99913549369291,1,0.00903699561744691,0.997494882680956,-1.16139498525839,0.99089918078389,110,51,945
car,mcc,0,1,1,0.0361987326011605,1,-0.0584244280448697,0.730997160403058,68,157,48
christine,auc,0.244744596244484,0.755256935902692,0.830315793932847,0.521665662728872,0.511125676644754,-3.34503444058082,0.845174455922097,4,55,306
christine,bacc,0.238469487282673,0.761530681973486,0.822284983612444,0.520346725287742,0.523378780828735,-2.80762214302996,0.116477225301787,168,76,151
christine,ce,0.23736111205844,0.762639059723931,0.822496450917769,0.546413931768175,0.525717429335121,-2.71536331059855,0.441222726320848,30,35,170
christine,logloss,0.248622204336646,0.751381713817138,0.82956968733279,0.509987670339737,0.503356627085599,-3.72531205794842,0.993100326182321,2,62,267
christine,mcc,0.237177974367544,0.762824244909116,0.822049914595087,0.528450416596044,0.526217989918446,-2.59175780619385,0.646176445577294,63,75,99
churn,auc,0.0438,0.872207881647777,0.936285824722281,0.161244497017208,0.810231955360366,-1.1971384681002,0.762936409562826,35,17,49
churn,bacc,0.0334,0.898358212373935,0.918722840866961,0.161021710970825,0.857016367309631,-2.01753512090568,0.995772156305611,39,23,102
churn,ce,0.0338,0.891011562953915,0.920281807721703,0.158663504041876,0.854922960959175,-2.43840938155457,0.928544227057137,23,63,81
churn,logloss,0.0392,0.883723241492649,0.927024281974168,0.140966539481164,0.830788334451972,-4.20633614334971,0.811834694677964,9,26,549
churn,mcc,0.0336,0.895242381812968,0.923764057811388,0.149879177807872,0.855799126639878,-1.77970401935089,0.746180811827071,12,54,32
