task,measure,ce,bacc,logloss,auc,mcc,svm.cost,svm.gamma
APSFailure,ce,0.00689473684210526,0.855472290654697,0.0261790395965172,0.96799355627646,0.789979049589115,2.18717945998018,-7.81703345787089
Amazon_employee_access,ce,0.0523970578975156,0.591471050265566,0.194755504479018,0.661137270021687,0.337019668380573,0.234156045366215,8.39695661257869
Australian,ce,0.13768115942029,0.86839732706456,0.341592542956737,0.930333173711782,0.734975292922107,1.51239128337605,-8.09393613813215
Bioresponse,ce,0.208745390070922,0.79041892541707,0.483590084935547,0.850727200996842,0.580520292204957,1.2131301232186,-6.42257999240818
GesturePhaseSegmentationProcessed,ce,0.409603181439688,0.49311067486935,1.09843923933855,0.861383688183999,0.457962530909312,2.73201780861697,-1.33263575920999
Internet-Advertisements,ce,0.0243967703438502,0.928386781786412,0.114657569085064,0.950723181553431,0.896066202324038,-1.04162084971744,-7.4414729072095
KDDCup09_appetency,ce,0.0178,0.5,0.0893489430112594,0.5,0,2.35405346150364,2.99728263657897
MiceProtein,ce,0.000925925925925926,0.999166666666667,0.045933655320223,0.999982993197279,0.998950362958603,5.67928717816809,-6.08552641176011
PhishingWebsites,ce,0.0270460589299011,0.972066701886501,0.120316949155817,0.986232288569258,0.945232820728811,6.59247055824386,-2.85401488316642
adult,ce,0.144342942551745,0.756506389060921,0.362421984335493,0.877374989741124,0.574639439486807,1.5838651135775,-2.75687372363818
analcatdata_authorship,ce,0.00236694677871148,0.998385416666667,0.0248853726938918,1,0.99658854971477,0.0466750849595146,-5.8456442351837
analcatdata_dmft,ce,0.760268987341772,0.227254273504274,1.76599170999129,0.601618045771892,0.0879643291894028,-0.769682023504113,-6.17485929191929
balance-scale,ce,0,1,0.0684330925959478,1,1,8.21685071290281,-3.7305263200909
bank-marketing,ce,0.0979186324059886,0.651118168750177,0.265091509049584,0.875094799212229,0.420024515578057,1.67037411404287,-3.26969312557675
banknote-authentication,ce,0,1,0.0034335230804444,1,1,-0.930078269508124,-1.37637593993581
blood-transfusion-service-center,ce,0.205873873873874,0.615815273477812,0.494408804872315,0.693257653938769,0.331590296792325,0.0560927809951393,-0.931525881500073
breast-w,ce,0.0314699792960663,0.968185990338164,0.0931873729199865,0.994310789049919,0.93235106279161,6.69776084010127,-5.73631833469942
car,ce,0.0318221535152574,0.940716102079738,0.103392471818625,0.995240538302739,0.930720962750828,7.68996413400023,-5.61464426137622
christine,ce,0.347376049546078,0.652695093617603,0.669729447125028,0.736897166634643,0.327307652461406,-2.10982289332612,-6.13517017122901
churn,ce,0.0514,0.847756964620705,0.174322865760525,0.9263941674659,0.775300205516336,2.91913218091824,-3.76326895844305
climate-model-simulation-crashes,ce,0.037037037037037,0.812,0.126818965196695,0.949530612244898,0.729538485146437,-0.270106441313051,-8.57528538552842
cmc,ce,0.443951093951094,0.517187066570368,0.946345389706596,0.73935881523968,0.300460403735595,5.75570678402215,-5.78900812437436
cnae-9,ce,0.0527777777777778,0.947222222222222,0.222937016445453,0.9984375,0.941221771908008,3.3417810249762,-8.83453917977228
credit-approval,ce,0.123188405797101,0.878949545078577,0.343786938045462,0.928917330547212,0.755771267418415,0.877273711513404,-8.50648237528245
credit-g,ce,0.223,0.686428571428571,0.492616302517758,0.796142857142857,0.429262159447035,4.92877212828983,-6.32141753548713
cylinder-bands,ce,0.153703703703704,0.842822620489609,0.444126891140492,0.876943412915976,0.68854180072363,1.29109896515289,-2.69814089802511
diabetes,ce,0.216182501708818,0.737025641025641,0.473877753043615,0.839301994301994,0.508028353023795,-0.0903224320814777,-3.29906314105841
dilbert,ce,0.0108,0.989221067733893,0.0336198083647491,0.999841051627624,0.986509933150198,1.41114806039745,-7.26762856840614
dna,ce,0.0342116677510301,0.9637573030788,0.117821682361461,0.995843750111779,0.944636491261782,0.251275387119983,-6.08208339519109
dresses-sales,ce,0.402,0.538505747126437,0.675664198415898,0.558292282430213,0.137611120697866,6.33430012040422,-2.09378601931671
electricity,ce,0.139587480420748,0.854661237044709,0.343664463372182,0.924921977655798,0.713356616725905,2.9220534100405,0.408277558553382
eucalyptus,ce,0.293520918178452,0.672144078144078,0.740485085899739,0.931650014968197,0.625055909471676,5.53730221328846,-6.07985227993284
fabert,ce,0.330219626278474,0.634782040651709,0.977190450470246,0.927381446046375,0.604992345455354,-0.757000530133616,-6.17490728577081
first-order-theorem-proving,ce,0.406177058930501,0.453121989045557,1.1872040440581,0.834810946197217,0.438371161204111,4.67840289545198,-1.82917990044236
har,ce,0.00961259399737704,0.990918060435024,0.0289685553618618,0.999819100908135,0.988444096174306,3.42702082872967,-6.41803362227201
ilpd,ce,0.276154295733489,0.518014705882353,0.579415761284366,0.538827222962356,0.113502059174939,-4.13152482774723,8.82399322311794
jasmine,ce,0.19942313303854,0.800586129753915,0.443247935662644,0.859930453583172,0.609411066716713,4.45027231993756,-8.7584410998061
jm1,ce,0.180341010371091,0.564442486012676,0.461368427535519,0.640987328982602,0.24800562605141,-0.233320331960502,-2.07390085922474
jungle_chess_2pcs_raw_endgame_complete,ce,0.136816949665308,0.812750772403667,0.27554190676396,0.972092913100672,0.760835226727004,7.67723486645562,-2.04044772187184
kc1,ce,0.137034529451591,0.586738459464395,0.386637501886599,0.688941232478891,0.314638743378728,1.41788583058755,-3.31339573211662
kc2,ce,0.147496371552975,0.675677330799282,0.403161161553402,0.800083940449794,0.481344391254215,-1.5666486797292,-4.53500574196931
