task,measure,ce,bacc,logloss,auc,mcc,xgboost.eta,xgboost.max_depth,xgboost.colsample_bytree,xgboost.colsample_bylevel,xgboost.lambda,xgboost.alpha,xgboost.subsample
APSFailure,ce,0.00451315789473684,0.903803870614401,0.0248714200937701,0.991176388524898,0.866256112760649,-2.20776711101233,19,0.852107954910025,0.729030132037588,-5.41968725583971,-6.36608269104148,0.737486651120707
Amazon_employee_access,ce,0.0516950846596864,0.604947826105392,0.671284622274644,0.840810586845717,0.357663806184744,-5.59800969783847,16,0.274872800474986,0.888602863578126,-6.01204683541687,-4.7606960937403,0.790638823341578
Australian,ce,0.0768115942028986,0.921736319707457,0.319764573450365,0.943750308359816,0.845872797591663,-1.11033183734745,4,0.982308956724592,0.550077202776447,-0.21896294784966,-2.2463590601973,0.140631218836643
Bioresponse,ce,0.175151063829787,0.822191829361917,0.452971405520534,0.876747546774962,0.647164618135828,-2.79627310201249,8,0.337913587503135,0.426384592871182,-4.65217737201654,-3.82125051156524,0.611217670701444
CIFAR_10,ce,0.3856,0.6144,1.26602410399807,0.942941450617284,0.571668474705766,-1.44357579760225,5,0.54302944210358,0.546280547860079,-0.470647334023933,-5.0106345238338,0.965675992309116
Fashion-MNIST,ce,0.0844428571428571,0.915557142857143,0.258822007656681,0.995787537414966,0.906217187858554,-1.62018528659769,5,0.957574885617942,0.226382499677129,1.67670531162327,-4.72440980838297,0.967326065711677
GesturePhaseSegmentationProcessed,ce,0.275499817465103,0.666265675120938,0.816416473610161,0.930467277002846,0.637525010646202,-2.12571631057065,14,0.992288228939287,0.817400198965333,-4.04397966382016,-3.68543057623715,0.911409762687981
Internet-Advertisements,ce,0.016772954426792,0.945578682290061,0.0926475743364915,0.972259396306575,0.928891722415154,-0.292149356504887,12,0.335427897446789,0.855019194399938,-5.06415609703922,-6.48689823719032,0.646697552897967
KDDCup09_appetency,ce,0.01772,0.502798807538225,0.584482215949547,0.505299270841199,0.0213787892865594,-2.76598588672555,1,0.148695498588495,0.783607012382709,5.26580845791408,3.03235034894297,0.11817126639653
MiceProtein,ce,0.00648148148148148,0.993735431235431,1.85262618008462,0.999943746729461,0.992727164746189,-6.1058301205259,19,0.322852501086891,0.502970371977426,-5.19296157887233,-6.00533102760609,0.981254446459934
PhishingWebsites,ce,0.0217093926178066,0.977336225112112,0.0697201278192714,0.996711826958883,0.956079653790797,-0.68684975940348,17,0.929327732371166,0.575694422633387,-2.24521347062548,-2.37033046290236,0.736606596969068
adult,ce,0.122558547660902,0.803022916616076,0.273299263659831,0.930049360710159,0.647319785109716,-1.55056652991509,5,0.304581351112574,0.751729464926757,-1.59499226197423,-3.86248688218952,0.912261341838166
analcatdata_authorship,ce,0,1,0.799098150911998,1,1,-2.79859691431605,10,0.278301372914575,0.334087223140523,-5.86890690436008,-4.33395944755012,0.796316537423991
analcatdata_dmft,ce,0.676313291139241,0.323446275946276,2.71269038106147,0.643629158057043,0.188023289640025,-0.0239720378163584,2,0.533390096505173,0.965874396357685,-1.26714540337711,-6.35085215679818,0.154372353316285
balance-scale,ce,0.0112135176651306,0.953333333333333,0.143454992963732,0.996272577996716,0.980514979134237,-0.027356424600567,18,0.436367007042281,0.959243129729293,-2.10772247947572,-6.52770029567869,0.593064741184935
bank-marketing,ce,0.087655665765765,0.740740962217097,0.196909748713575,0.934952740142155,0.536484398655302,-2.15148180187925,19,0.931711443793029,0.728824835130945,4.90952062797116,-1.78338317894354,0.752815326023847
banknote-authentication,ce,0,1,0.0295879630746085,1,1,-0.574908243805379,3,0.745161413773894,0.126632615551353,-2.81981274965577,-5.9142892302975,0.604600858245976
blood-transfusion-service-center,ce,0.164414414414414,0.697041623667011,0.487136419655209,0.745238504758629,0.496578220812279,-0.491943679502594,1,0.975345271150582,0.19399852999486,-5.20790120674959,-1.4646497406173,0.198882229533046
