task,measure,ce,bacc,logloss,auc,mcc,catboost.learning_rate,catboost.depth,catboost.l2_leaf_reg
APSFailure,ce,0.0045921052631579,0.903408048691538,0.0172930344039257,0.992249857342845,0.864118496509197,-2.29565597572155,10,0.277131512136897
Amazon_employee_access,ce,0.0424181021907601,0.699193233773223,0.134290575015538,0.902379951663715,0.531306647515205,-3.33116145544011,11,4.43765006773407
Australian,ce,0.0898550724637681,0.908382308127639,0.678928983704781,0.931907114767896,0.818915195040673,-5.72095822387636,3,113.714986846073
Bioresponse,ce,0.177816312056738,0.819372651915336,0.44163792158001,0.877268171099295,0.641703624229557,-1.07541863441249,11,799.88148121707
GesturePhaseSegmentationProcessed,ce,0.273978522410773,0.671007901812981,0.800215872798595,0.931969232308499,0.639305628036193,-2.33950720976578,11,0.110243330267025
Internet-Advertisements,ce,0.0176894532706795,0.942245348956727,0.0888474360208548,0.97193014013088,0.92480120763697,-1.64308486593051,5,0.127216201555217
KDDCup09_appetency,ce,0.01748,0.515056545841827,0.0826670741932174,0.76621160019127,0.129910296162233,-0.324158701966682,11,117.933924414389
MiceProtein,ce,0.00185185185185185,0.998333333333333,0.147195225735152,1,0.997900211310327,-1.69194674556715,7,0.0905831303771119
PhishingWebsites,ce,0.0220712199193212,0.9769907758922,0.0640317428055235,0.997305696217207,0.955362765951338,-1.31119772298492,10,7.70689078390459
adult,ce,0.122824668438793,0.802876336559226,0.273926106113921,0.930026122246652,0.646606651115637,-2.16580067114137,9,0.174979730522726
analcatdata_authorship,ce,0,1,0.146725378748422,1,1,-1.75103855952825,9,0.664348043090431
analcatdata_dmft,ce,0.707674050632911,0.29248778998779,1.89678590238774,0.597783477740209,0.151703209017013,-0.0434840941076156,9,2.89156324053393
balance-scale,ce,0.023963133640553,0.9,0.159731555553713,0.994893267651888,0.958503323656066,-0.00170343325598224,1,1.33194035173976
bank-marketing,ce,0.087766216744093,0.729036053757942,0.198290190087662,0.935448167341151,0.526977011904119,-2.15226082247414,11,15.506080671543
banknote-authentication,ce,0,1,0.0509599863254868,1,1,-0.439116244438973,1,61.5153547015251
blood-transfusion-service-center,ce,0.177765765765766,0.653732370141039,0.48001332905993,0.736518174521271,0.422371091956461,-0.544166058900713,7,35.1512404154083
breast-w,ce,0.0157556935817805,0.984957729468599,0.491958199636262,0.991935547504026,0.966336852401564,-1.98193547736541,6,505.664019282165
car,ce,0,1,0.0548157586479297,1,1,-1.56975777602847,7,0.0550257356970105
christine,ce,0.239022992817729,0.760979226458931,0.524077846574034,0.820745224057407,0.522389253774068,-1.96126831729937,9,512.968224191023
churn,ce,0.0336,0.897045648968348,0.150642825805931,0.924231563937755,0.856171251975728,-1.87694030290514,11,28.2463276885487
climate-model-simulation-crashes,ce,0.0277777777777778,0.835,0.1406507009248,0.925780612244898,0.794983212892707,-0.0530214961651685,9,38.9076298718401
cmc,ce,0.392379113807685,0.584501297072455,0.89203965320154,0.773388017576357,0.39023099583695,-0.649335560131125,10,5.01262383594038
cnae-9,ce,0.0407407407407407,0.959259259259259,0.266003553398664,0.998042052469136,0.954591974398487,-0.847178359048959,9,0.0226576519843657
connect-4,ce,0.123984235960556,0.727813080368658,0.318577096126963,0.944846216175138,0.743065193942743,-1.86580662626809,11,6.19696275233571
