task,measure,ce,bacc,logloss,auc,mcc,kknn.k,kknn.distance
APSFailure,ce,0.00855263157894737,0.836380436432978,0.121207888129903,0.914984438846097,0.739913482785614,1.403556317626,1.14026583715032
Amazon_employee_access,ce,0.0535262138939283,0.59655057707891,0.518680027846949,0.811569080139156,0.33089697791898,2.64115193934075,2.77154927328229
Australian,ce,0.133333333333333,0.857446127726264,0.355026646090501,0.925214836097688,0.734985953204724,4.54375377524665,1.2092908937484
Bioresponse,ce,0.231403546099291,0.76426220856243,0.548898719977738,0.843201951798179,0.532676516860575,3.10854340963761,1.18268396891654
GesturePhaseSegmentationProcessed,ce,0.328777241795159,0.623992218343846,2.09137890769835,0.91667140244792,0.569331193006319,2.44586142885498,1.02699779439718
Internet-Advertisements,ce,0.032937085104796,0.897855380820228,0.470389505079792,0.950997019220886,0.857928912152341,1.83644619927134,2.90465702116489
KDDCup09_appetency,ce,0.0178,0.5,0.193217934069242,0.586461028784271,0,4.44918917144313,3.14349041152745
MiceProtein,ce,0.00185185185185185,0.998273809523809,0.0639606970276134,0.999506802721088,0.997899906608322,0.124868147938486,1.66566478461027
PhishingWebsites,ce,0.0313876592506526,0.967416911128033,0.631113084737413,0.980102300443955,0.936423894001472,0.87344187467338,1.85105661141376
adult,ce,0.150628572650067,0.764222053675223,0.352078541422797,0.902107146320882,0.564862959029788,4.14377262886949,1.01965712569654
analcatdata_authorship,ce,0.00236694677871148,0.998385416666667,0.038663453110002,1,0.99658854971477,4.22866242975053,1.1200436559692
analcatdata_dmft,ce,0.774066455696203,0.224193376068376,1.79318500062461,0.590590974374628,0.0661513946535211,4.17962108093717,1.54808311350644
balance-scale,ce,0.0928571428571429,0.6561986863711,0.457905522023107,0.962880640960308,0.83776001434844,4.45574007907891,1.00339946802706
bank-marketing,ce,0.100440154408426,0.642883614065602,0.364936663239662,0.891555018870605,0.400913618311719,3.41272587451709,2.47939537558705
banknote-authentication,ce,0.00145456468845869,0.998692754613807,0.0502388845266086,0.998692754613807,0.997079614175658,0.593046212270724,3.51000869482756
blood-transfusion-service-center,ce,0.216576576576577,0.620364637082903,0.479973492927583,0.750060199518404,0.306118865483436,3.50431317920359,1.2499487371246
breast-w,ce,0.0343271221532091,0.963022946859903,0.318181747735076,0.987758615136876,0.925144196413687,2.28657686002155,2.45329054391633
car,ce,0.0700228525339427,0.732093365167528,0.269721484792147,0.989797246436002,0.849165165383727,2.99183002254149,2.91106941737235
christine,ce,0.278146933040495,0.721846385130518,0.554696029050468,0.796947052988365,0.450719543353228,3.61333675901152,1.02672445587814
churn,ce,0.111,0.619371638297285,0.612104865581183,0.823962731558211,0.431629089482561,2.95737933855901,1.25524002348383
climate-model-simulation-crashes,ce,0.0759259259259259,0.573,0.263344227557841,0.870923469387755,0.213894132539407,2.8253335220517,1.93571013105412
cmc,ce,0.483360911932341,0.500628912868002,1.00596706347794,0.715198033144139,0.252728487104371,3.36718700429013,1.03720788750798
cnae-9,ce,0.0972222222222222,0.902777777777778,0.594766756651623,0.997010030864197,0.892827106490281,3.450524608039,1.04034409315636
connect-4,ce,0.201962787470983,0.557825323024739,0.574009523828301,0.887880888675878,0.557842137092842,3.63212296986377,1.02621042635292
credit-approval,ce,0.136231884057971,0.857318140263811,0.361689717041593,0.918441658322813,0.725565044089145,4.15341110691722,1.42423787433654
credit-g,ce,0.257,0.612619047619048,0.557610478653459,0.761190476190476,0.309441650583639,3.38162599140169,2.22111436663816
cylinder-bands,ce,0.159259259259259,0.831465956904246,0.469758290970261,0.890832888403672,0.675919235577496,1.98226286647957,1.62015021499246
diabetes,ce,0.250034176349966,0.679079772079772,0.493736929094524,0.830780626780627,0.41896580752843,4.29008734390484,1.48788079246879
dilbert,ce,0.0228,0.977241285437332,0.129116674795483,0.999009477984359,0.971535635123908,1.6703927108864,1.3962817878897
dna,ce,0.126471284083516,0.890144053086349,0.550671695066958,0.988905988442322,0.810701155553093,4.60319171165313,1.00284105818719
dresses-sales,ce,0.4,0.549425287356322,0.670442264594603,0.57175697865353,0.128474656902807,4.29785846227697,3.22088416200131
electricity,ce,0.146164292742182,0.847876571482468,0.486541789494868,0.92872833824917,0.699771437696415,2.55360830456726,1.07510717306286
eucalyptus,ce,0.392687893372825,0.550813408813409,0.995986004461243,0.900164809937537,0.499372739272776,4.56810583075601,1.00746730106572
fabert,ce,0.327791557055056,0.643832089558949,1.33473819338563,0.935238386244025,0.60726226356841,3.03802247617669,1.25368205923587
first-order-theorem-proving,ce,0.401111966881679,0.486199888315651,4.55421590850433,0.840244776265833,0.459686980740219,2.19026685668526,1.49638800335427
har,ce,0.0143707247115212,0.986293731929421,0.0618834432422778,0.999514769945241,0.982739753383789,2.05743022260713,1.0500967707485
higgs,ce,0.321733809280979,0.671347064006668,0.601433386094945,0.746250323988003,0.354496006563994,4.56560520915707,1.00218804273754
ilpd,ce,0.282875511396844,0.526184925189588,0.534477075127962,0.699694267951083,0.123845155587641,4.25819863544719,4.6411894296358
jannis,ce,0.337465555049438,0.489828767889753,0.829485498548779,0.816219356288906,0.465634940975438,4.59589244593591,1.00429108645767
jasmine,ce,0.208797782316895,0.791194630872483,0.447982211289833,0.856893953725808,0.611437763196834,4.28136336083131,1.14587010256946
jm1,ce,0.183005185545293,0.577942307504627,0.479253359285687,0.740321923282935,0.254558783509738,3.73421874484939,2.35416621182114
jungle_chess_2pcs_raw_endgame_complete,ce,0.158548842397784,0.762994972135697,0.383311637921553,0.960771584784894,0.721185452833851,3.58715544301286,1.24183812830597
kc1,ce,0.142254570074475,0.576059939121933,0.359777474161781,0.808263762475676,0.277039798502273,4.49316364002472,1.02438592488567
kc2,ce,0.157184325108853,0.725386970752824,1.97754397695146,0.80216107063668,0.502740894103631,1.94060466055839,1.87427598663916
kr-vs-kp,ce,0.044748236677116,0.954585558265393,0.192510645912453,0.990307721496096,0.91068270876426,3.01129375221347,1.13116586208344
madelon,ce,0.374615384615385,0.625384615384616,0.648519868740143,0.696597633136095,0.262553732236909,4.52385699067264,1.00659553988526
mfeat-factors,ce,0.032,0.968,0.311620514723798,0.999261111111111,0.964660594111324,2.21051182126743,2.70302892630299
mfeat-fourier,ce,0.1875,0.8125,0.714670460923919,0.983844444444444,0.792953883423492,3.40716313390945,2.10221955432246
mfeat-karhunen,ce,0.0305,0.9695,0.260535026108795,0.999566666666667,0.966338341533224,2.32930135411367,1.05072111077607
mfeat-morphological,ce,0.2805,0.7195,1.09097588462434,0.970011111111111,0.689307195889042,3.23154120517352,2.48604949101806
mfeat-pixel,ce,0.024,0.976,0.211754400339106,0.999736111111111,0.973462399481999,2.5403782525555,1.32294696614146
mfeat-zernike,ce,0.2,0.8,0.537314397063736,0.980616666666667,0.778296918468181,3.36234942659693,2.93124497255931
nomao,ce,0.0378932128857497,0.951712112060171,0.295642765332438,0.986347313163515,0.906872697373961,2.06862268750035,1.00860032159835
numerai28.6,ce,0.485703903654485,0.513797962301399,0.699887705313359,0.517521446477619,0.0277207085584788,4.58670877294249,1.34668707661331
optdigits,ce,0.0169039145907473,0.983080337992316,0.101173114043158,0.999696978552637,0.981281904412959,2.93336904420548,1.2396884188056
ozone-level-8hr,ce,0.0552534935109396,0.588730697975393,0.294786870658628,0.887040718186008,0.335395721361953,3.08845436790133,1.36145973328501
pc1,ce,0.0658230958230958,0.578685452896618,0.469517659763531,0.819238104128881,0.27573866849795,2.90159279702994,4.99569755606353
pc3,ce,0.10620202515107,0.528316236068896,0.436085441341015,0.82492227077001,0.121312308116947,3.23406001236978,3.81420535923292
pc4,ce,0.096027397260274,0.628020322712418,0.305243071061047,0.887503829656863,0.43416097398944,3.41681104368055,3.5089652449886
pendigits,ce,0.00509438332368269,0.994921320939757,0.0855085369839524,0.999523118378188,0.994342738602801,1.51407773785375,1.29247726911058
phoneme,ce,0.0914130211542411,0.881533491012472,1.88591137491897,0.915944900446744,0.776736753287651,1.08987652413233,1.24003249034286
qsar-biodeg,ce,0.133638814016173,0.860681504485852,0.351680222898619,0.924290413750041,0.70879343519466,3.87519075694709,1.04961926396936
satimage,ce,0.0810264385692068,0.904070612993097,0.46020317069789,0.991642402518961,0.900080161570813,2.30303712112166,1.04964966885746
segment,ce,0.0761904761904762,0.923809523809524,0.738430963209467,0.992435174253356,0.911570690347509,1.82350095198605,1.06261952966452
semeion,ce,0.0746973270440252,0.924813725490196,0.404746026704383,0.99853046704793,0.917931785872413,2.70927267359431,2.07635401935627
shuttle,ce,0.000862068965517241,0.903873509873984,0.00899826801513366,0.994753149609816,0.997574589797401,1.52075222728739,1.07975370053202
sick,ce,0.0320793510448683,0.772599267923928,0.209954090045052,0.948857202207761,0.683435779250799,2.33296950132199,1.03261440899223
spambase,ce,0.071287843063284,0.918792193297405,0.29494047424921,0.972987589313627,0.850767421128191,2.7267269389041,1.13648945838213
splice,ce,0.111912225705329,0.917852558559597,0.499535064208186,0.993909204503461,0.835287481794373,4.59866643601662,1.01455487683415
steel-plates-fault,ce,0.244726407613006,0.787748976066641,1.11333460606289,0.973246554486177,0.688203201576987,2.71954316383066,1.01693813689053
sylvine,ce,0.121780579922027,0.87821999635214,0.371777608866508,0.960414206656964,0.771971674423088,4.16199755190487,1.00095073506236
tic-tac-toe,ce,0.0104385964912281,0.9849376114082,0.181113339216774,0.9999037999038,0.97710426992223,3.08650189564327,4.59167151247462
vehicle,ce,0.275448179271709,0.726719070403281,0.738398070590875,0.924183100575787,0.636216536581654,2.66176779131355,3.21194315422326
volkert,ce,0.291956782713085,0.642496946985272,1.38427137396671,0.963895196598377,0.656421926468172,3.11223354303916,1.08738983143121
wall-robot-navigation,ce,0.0712991901065296,0.923226205527341,0.329119816245098,0.993329249219529,0.892501424130384,2.43655983782858,1.00053746439517
wdbc,ce,0.0315789473684211,0.959628427128427,0.152992999230795,0.993672438672439,0.93330138130489,3.20629842416358,1.92047461170703
wilt,ce,0.0278989784918639,0.800669450877997,0.451701476834473,0.884954826836092,0.695679029216828,1.54538019486148,4.1671430147936
APSFailure,bacc,0.00818421052631579,0.844447190753251,0.282672617337296,0.844447190753251,0.752434021265898,0.10387202218299,1.00075037870556
Amazon_employee_access,bacc,0.0691506235601445,0.630312835826216,2.38837792471247,0.630312835826216,0.293350092474216,0.691417934749472,3.88908548299223
Australian,bacc,0.128985507246377,0.86296656654042,0.401302572533756,0.923754298898611,0.742181552757906,3.83729386454807,1.38674560002983
Bioresponse,bacc,0.226607092198582,0.76932136070005,0.561288199833445,0.844399946935072,0.542479832709178,2.8335643119619,1.00691770762205
GesturePhaseSegmentationProcessed,bacc,0.320774214587205,0.651186051201635,3.7851742276038,0.912045761735914,0.581432559082513,1.72817005492922,1.00570490397513
