task,measure,ce,bacc,logloss,auc,mcc,ranger.mtry.ratio,ranger.replace,ranger.sample.fraction,ranger.num.trees
APSFailure,ce,0.00521052631578947,0.892008135600256,0.0224132859725316,0.991260098068537,0.844803970710469,0.184624415822327,FALSE,0.995975479693152,1000
Amazon_employee_access,ce,0.0513289985368106,0.632366482618993,0.202541320415057,0.843154699986546,0.393775105128388,0.485478814225644,FALSE,0.828175274003297,1000
Australian,ce,0.121739130434783,0.879448652648992,0.40412977818608,0.940369596447695,0.757477977658406,0.807126572821289,TRUE,0.478640568233095,1000
Bioresponse,ce,0.183686524822695,0.813494488103208,0.443485947947148,0.880149215867028,0.62959388559752,0.0854919557459652,FALSE,0.633236420084722,1000
CIFAR_10,ce,0.497016666666667,0.502983333333333,1.57407754191232,0.918220691358025,0.448360075811931,0.0347263615112752,FALSE,0.95949508973863,1000
Fashion-MNIST,ce,0.1066,0.8934,0.335152778191334,0.995039056689342,0.881717759175715,0.109189320588484,FALSE,0.979007110907696,1000
GesturePhaseSegmentationProcessed,ce,0.291299238275722,0.640202175820658,0.852976699331495,0.940958281575925,0.616634237048593,0.148525703698397,FALSE,0.985148112266324,1000
Internet-Advertisements,ce,0.0213479898560453,0.940165998561003,0.0994504106914251,0.984000839414808,0.909564292763104,0.0785421915352345,TRUE,0.952407596120611,1000
KDDCup09_appetency,ce,0.0178,0.5,0.0774497620459231,0.806435221092754,0,0.390693900480866,TRUE,0.729371876400337,1000
MiceProtein,ce,0.00277777777777778,0.9975,0.213450730631473,0.999945054945055,0.996870193652882,0.163404297549278,FALSE,0.932366310362704,1000
PhishingWebsites,ce,0.0261410815543355,0.972669572256691,0.0702270757432853,0.997490586318886,0.947089706728006,0.259042857214808,FALSE,0.932646353519522,1000
adult,ce,0.132816038332927,0.780063625071974,0.293695957941288,0.919294913489103,0.613059653146616,0.188421891769394,FALSE,0.618995922617614,1000
analcatdata_authorship,ce,0.00354341736694678,0.994166666666667,0.273372215558561,1,0.994955621993981,0.0162317322101444,TRUE,0.850901731988415,1000
analcatdata_dmft,ce,0.744018987341772,0.254580280830281,1.75805301101656,0.617029503616042,0.105402837757166,0.402840416645631,FALSE,0.730296768783592,1000
balance-scale,ce,0.0816180235535074,0.664367816091954,0.620669764040102,0.964490968801314,0.858168392205525,0.211800393648446,TRUE,0.125449269567616,1000
bank-marketing,ce,0.0923447275043849,0.713814871362867,0.204081929239141,0.931262003533078,0.497591191551333,0.44721532613039,FALSE,0.661730020772666,1000
banknote-authentication,ce,0.00436898339151592,0.995907942359625,0.0212913988606037,0.999828277848123,0.991251046020095,0.720996843185276,FALSE,0.971142506320029,1000
blood-transfusion-service-center,ce,0.201891891891892,0.65141038871689,0.477369815233275,0.742942323128082,0.37125928314736,0.605580883100629,FALSE,0.976259397319518,1000
breast-w,ce,0.0243271221532091,0.97743961352657,0.122056054474659,0.99212882447665,0.947672233662075,0.0267522966023535,TRUE,0.98750562206842,1000
car,ce,0.0127234843392929,0.981817305501516,0.0530540565677216,0.999518862317905,0.972792945875526,0.83745135134086,TRUE,0.872541031148285,1000
christine,ce,0.259694020230406,0.74030340303403,0.537149734942843,0.813453127151198,0.48142742039842,0.130726289469749,FALSE,0.945126068987884,1000
churn,ce,0.0402,0.881386983471818,0.167336340919291,0.914818294218065,0.826702846024453,0.214577296050265,FALSE,0.899653461622074,1000
climate-model-simulation-crashes,ce,0.0592592592592593,0.663979591836735,0.171200730264508,0.916224489795918,0.503475808829516,0.440945289330557,FALSE,0.861841428023763,1000
cmc,ce,0.433085125942269,0.539198802813604,0.887781981922101,0.76331307753388,0.323138525218966,0.493472106987611,TRUE,0.921665734727867,1000
cnae-9,ce,0.0444444444444444,0.955555555555556,1.40183237409503,0.999305555555555,0.950671239285907,0.00232962402515113,FALSE,0.931888406304643,1000
