task,measure,ce,bacc,logloss,auc,mcc,xgboost.eta,xgboost.max_depth,xgboost.colsample_bytree,xgboost.colsample_bylevel,xgboost.lambda,xgboost.alpha,xgboost.subsample
APSFailure,ce,0.00452631578947368,0.904163370465727,0.0162683794086026,0.992022340669249,0.865765312112235,-0.784579202540092,10,0.28424247992225,0.931509003648534,3.84686929518788,-4.12117635490346,0.848187807109207
Amazon_employee_access,ce,0.053221000848404,0.57914333232568,0.52410971210795,0.847766799801316,0.309454495698522,-4.34656927367643,11,0.225722846831195,0.882625154266134,-1.82197501554492,-4.78639578958616,0.796200952655636
Australian,ce,0.0768115942028986,0.921736319707457,0.319764573450365,0.943750308359816,0.845872797591663,-1.11033183734745,4,0.982308956724592,0.550077202776447,-0.21896294784966,-2.2463590601973,0.140631218836643
Bioresponse,ce,0.175151063829787,0.822191829361917,0.452971405520534,0.876747546774962,0.647164618135828,-2.79627310201249,8,0.337913587503135,0.426384592871182,-4.65217737201654,-3.82125051156524,0.611217670701444
CIFAR_10,ce,0.3856,0.6144,1.26602410399807,0.942941450617284,0.571668474705766,-1.44357579760225,5,0.54302944210358,0.546280547860079,-0.470647334023933,-5.0106345238338,0.965675992309116
Fashion-MNIST,ce,0.0844428571428571,0.915557142857143,0.258822007656681,0.995787537414966,0.906217187858554,-1.62018528659769,5,0.957574885617942,0.226382499677129,1.67670531162327,-4.72440980838297,0.967326065711677
GesturePhaseSegmentationProcessed,ce,0.278336696897727,0.661485686833606,0.800360414560785,0.930713502213627,0.633432987590295,-2.66475440533696,11,0.977007961622439,0.698039810289629,-3.15110484647157,-5.66603109753069,0.833136650943197
Internet-Advertisements,ce,0.0176903856194525,0.9459081097749,0.0927625945851168,0.976033422414088,0.924971896572586,-0.684572106374909,10,0.329801894887351,0.838174043572508,-4.36271207281065,-6.80670353569869,0.625127489725128
KDDCup09_appetency,ce,0.01772,0.502798807538225,0.584482215949547,0.505299270841199,0.0213787892865594,-2.76598588672555,1,0.148695498588495,0.783607012382709,5.26580845791408,3.03235034894297,0.11817126639653
MiceProtein,ce,0.00925925925925926,0.991291208791209,1.76630430766982,0.999946363160649,0.98953932370499,-6.08029429010627,11,0.207760881376453,0.372256866027601,-6.01170396046221,-5.79879655622381,0.946435975213535
PhishingWebsites,ce,0.0219808858304763,0.977072021413955,0.0667036663580093,0.997051230614071,0.955549265165913,-0.844346563119914,9,0.767191257653758,0.194054562598467,-1.21870872303834,-2.33585265290586,0.674271475034766
adult,ce,0.122558547660902,0.803022916616076,0.273299263659831,0.930049360710159,0.647319785109716,-1.55056652991509,5,0.304581351112574,0.751729464926757,-1.59499226197423,-3.86248688218952,0.912261341838166
analcatdata_authorship,ce,0,1,0.799098150911998,1,1,-2.79859691431605,10,0.278301372914575,0.334087223140523,-5.86890690436008,-4.33395944755012,0.796316537423991
analcatdata_dmft,ce,0.676313291139241,0.323446275946276,2.71269038106147,0.643629158057043,0.188023289640025,-0.0239720378163584,2,0.533390096505173,0.965874396357685,-1.26714540337711,-6.35085215679818,0.154372353316285
balance-scale,ce,0.0159754224270353,0.933333333333333,0.160289752516828,0.996288998357964,0.972290511949314,-0.0373439760895389,2,0.471261772466824,0.823218586319126,-4.98394420169645,-3.7279312960453,0.440541117079556
bank-marketing,ce,0.0881201158562122,0.740235437073265,0.196047542783819,0.935319303304365,0.534517267578102,-2.06291169382127,8,0.93143701357767,0.757628365908749,4.80151219301162,-3.40708632983035,0.845108564104885
banknote-authentication,ce,0,1,0.0295879630746085,1,1,-0.574908243805379,3,0.745161413773894,0.126632615551353,-2.81981274965577,-5.9142892302975,0.604600858245976
blood-transfusion-service-center,ce,0.164414414414414,0.697041623667011,0.487136419655209,0.745238504758629,0.496578220812279,-0.491943679502594,1,0.975345271150582,0.19399852999486,-5.20790120674959,-1.4646497406173,0.198882229533046
breast-w,ce,0.0142857142857143,0.987089371980676,0.0885303091669136,0.993693236714976,0.969785843477365,-0.357228161924707,9,0.203821103996597,0.922689115861431,-5.70345479245732,-5.74780357201919,0.442355619533919
car,ce,0,1,0.040060380491333,1,1,-0.173704740503522,4,0.622481332952157,0.962949057249352,-6.50432327021705,-4.28714133012649,0.824448715685867
christine,ce,0.240500712770529,0.75949774497745,0.524654273741124,0.819583863489311,0.519738209548212,-1.6829375905743,5,0.440747897373512,0.408372575719841,6.09907561934098,-2.32893951499865,0.957549960981123
churn,ce,0.0342,0.892562151245414,0.166507794216587,0.922977661327645,0.853122357377992,-1.45721787056772,7,0.740995808434673,0.605357712879777,-0.13710574616232,-6.04905903407779,0.779298263206147
climate-model-simulation-crashes,ce,0.0259259259259259,0.856479591836735,0.126586083172181,0.945755102040816,0.818704280495335,-0.469704272694073,1,0.546958132321015,0.782859058910981,-6.76819138576766,-2.47848925164809,0.644662243872881
cmc,ce,0.391023166023166,0.581819084001247,0.913493179503187,0.76081074752755,0.389434754497221,-0.315111558051343,2,0.990199503093027,0.656111401203089,3.65520053894273,-3.99747525576608,0.143547152820975
cnae-9,ce,0.0407407407407407,0.959259259259259,0.339938170687579,0.998032407407407,0.954624126550011,-1.11594303242932,5,0.144510676533449,0.637629561251611,-3.63907746081996,-1.48565278018746,0.975098220420885
connect-4,ce,0.121660345011195,0.738888932366177,0.312547132927578,0.946178316383065,0.748941201676676,-0.830490674602657,11,0.713253324129619,0.780936998617835,4.7326918824195,-1.90935929986998,0.984367282665335
credit-approval,ce,0.1,0.897261547168169,0.370786596288774,0.929750555047669,0.798864638783977,-0.874008833290216,4,0.188144694105722,0.160016924305819,-4.04533448839969,-5.99516933502511,0.591678859083913
credit-g,ce,0.189,0.730714285714286,0.500763930139477,0.807,0.524141533712244,-1.90524267901735,5,0.358404917339794,0.616974637983367,-5.8229243630974,-6.60618944646182,0.629726651730016
cylinder-bands,ce,0.174074074074074,0.811947955182966,0.445743533445504,0.876341164095372,0.647035506280244,-1.1245677727066,6,0.210591536201537,0.985766703425907,-6.14690091606161,-5.87236946115274,0.93219681319315
diabetes,ce,0.181032125768968,0.772401709401709,0.486220548755851,0.838267806267806,0.594656912492009,-1.90247803437923,1,0.26653541107662,0.283946254663169,-6.60410052214283,-0.937651009280193,0.176964136958122
