nrow,nfeatures,n_blocks,d_token,residual_dropout,attention_dropout,ffn_dropout,ffn_d_hidden_multiplier,lr,weight_decay,epochs,rss_kb,rss_mib
100,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,702528,686.06250000000000000000
1000,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,770672,752.60937500000000000000
5000,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,819968,800.75000000000000000000
10000,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,832400,812.89062500000000000000
50000,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,837712,818.07812500000000000000
1e+05,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,830000,810.54687500000000000000
100,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,756176,738.45312500000000000000
1000,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,864864,844.59375000000000000000
5000,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,855872,835.81250000000000000000
10000,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,903632,882.45312500000000000000
50000,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,845520,825.70312500000000000000
1e+05,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,884880,864.14062500000000000000
100,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,830560,811.09375000000000000000
1000,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,993760,970.46875000000000000000
5000,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,954624,932.25000000000000000000
10000,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,950240,927.96875000000000000000
50000,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1039840,1015.46875000000000000000
1e+05,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1016128,992.31250000000000000000
100,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,883168,862.46875000000000000000
1000,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1055312,1030.57812500000000000000
5000,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1072672,1047.53125000000000000000
10000,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1038112,1013.78125000000000000000
50000,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1211088,1182.70312500000000000000
