"","nrow","nfeatures","n_blocks","d_token","residual_dropout","attention_dropout","ffn_dropout","ffn_d_hidden_multiplier","lr","weight_decay","epochs"
"1",100,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"2",1000,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"3",5000,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"4",10000,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"5",50000,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"6",1e+05,1,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"7",100,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"8",1000,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"9",5000,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"10",10000,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"11",50000,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"12",1e+05,10,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"13",100,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"14",1000,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"15",5000,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"16",10000,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"17",50000,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"18",1e+05,50,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"19",100,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"20",1000,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"21",5000,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"22",10000,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"23",50000,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"24",1e+05,100,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"25",100,500,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"26",1000,500,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"27",5000,500,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"28",10000,500,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"29",50000,500,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"30",1e+05,500,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"31",100,1000,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"32",1000,1000,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"33",5000,1000,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"34",10000,1000,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"35",50000,1000,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"36",1e+05,1000,4,64,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"37",100,1,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"38",1000,1,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"39",5000,1,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"40",10000,1,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"41",50000,1,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"42",1e+05,1,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"43",100,10,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"44",1000,10,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"45",5000,10,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"46",10000,10,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"47",50000,10,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"48",1e+05,10,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"49",100,50,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"50",1000,50,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"51",5000,50,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"52",10000,50,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"53",50000,50,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"54",1e+05,50,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"55",100,100,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"56",1000,100,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"57",5000,100,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"58",10000,100,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"59",50000,100,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"60",1e+05,100,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"61",100,500,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"62",1000,500,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"63",5000,500,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"64",10000,500,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"65",50000,500,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"66",1e+05,500,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"67",100,1000,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"68",1000,1000,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"69",5000,1000,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"70",10000,1000,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"71",50000,1000,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"72",1e+05,1000,4,128,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"73",100,1,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"74",1000,1,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"75",5000,1,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"76",10000,1,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"77",50000,1,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"78",1e+05,1,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"79",100,10,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"80",1000,10,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"81",5000,10,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"82",10000,10,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"83",50000,10,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"84",1e+05,10,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"85",100,50,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"86",1000,50,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"87",5000,50,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"88",10000,50,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"89",50000,50,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"90",1e+05,50,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"91",100,100,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"92",1000,100,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"93",5000,100,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"94",10000,100,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"95",50000,100,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"96",1e+05,100,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"97",100,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"98",1000,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"99",5000,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"100",10000,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"101",50000,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"102",1e+05,500,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"103",100,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"104",1000,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"105",5000,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"106",10000,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"107",50000,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"108",1e+05,1000,4,256,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"109",100,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"110",1000,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"111",5000,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"112",10000,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"113",50000,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"114",1e+05,1,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"115",100,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"116",1000,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"117",5000,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"118",10000,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"119",50000,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"120",1e+05,10,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"121",100,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"122",1000,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"123",5000,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"124",10000,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"125",50000,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"126",1e+05,50,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"127",100,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"128",1000,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"129",5000,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"130",10000,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"131",50000,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"132",1e+05,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"133",100,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"134",1000,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"135",5000,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"136",10000,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"137",50000,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"138",1e+05,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"139",100,1000,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"140",1000,1000,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"141",5000,1000,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"142",10000,1000,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"143",50000,1000,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"144",1e+05,1000,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10
"145",100,1,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"146",1000,1,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"147",5000,1,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"148",10000,1,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"149",50000,1,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
"150",1e+05,1,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10
