nrow,nfeatures,n_layers,neurons,p,opt_lr,opt_weight_decay,epochs,rss_kb,rss_mib
10,50,2,2,0.2,1e-05,1e-06,10,573104,559.67187500000000000000
18,50,2,2,0.2,1e-05,1e-06,10,551664,538.73437500000000000000
33,50,2,2,0.2,1e-05,1e-06,10,544176,531.42187500000000000000
61,50,2,2,0.2,1e-05,1e-06,10,559408,546.29687500000000000000
112,50,2,2,0.2,1e-05,1e-06,10,625680,611.01562500000000000000
206,50,2,2,0.2,1e-05,1e-06,10,648992,633.78125000000000000000
379,50,2,2,0.2,1e-05,1e-06,10,642752,627.68750000000000000000
695,50,2,2,0.2,1e-05,1e-06,10,650928,635.67187500000000000000
1274,50,2,2,0.2,1e-05,1e-06,10,656544,641.15625000000000000000
2335,50,2,2,0.2,1e-05,1e-06,10,661920,646.40625000000000000000
4281,50,2,2,0.2,1e-05,1e-06,10,653136,637.82812500000000000000
7847,50,2,2,0.2,1e-05,1e-06,10,634688,619.81250000000000000000
14384,50,2,2,0.2,1e-05,1e-06,10,673712,657.92187500000000000000
26366,50,2,2,0.2,1e-05,1e-06,10,723552,706.59375000000000000000
48329,50,2,2,0.2,1e-05,1e-06,10,746784,729.28125000000000000000
88586,50,2,2,0.2,1e-05,1e-06,10,683088,667.07812500000000000000
162377,50,2,2,0.2,1e-05,1e-06,10,648912,633.70312500000000000000
297635,50,2,2,0.2,1e-05,1e-06,10,766784,748.81250000000000000000
545559,50,2,2,0.2,1e-05,1e-06,10,796192,777.53125000000000000000
1e+06,50,2,2,0.2,1e-05,1e-06,10,794800,776.17187500000000000000
10,50,4,2,0.2,1e-05,1e-06,10,595632,581.67187500000000000000
18,50,4,2,0.2,1e-05,1e-06,10,604368,590.20312500000000000000
33,50,4,2,0.2,1e-05,1e-06,10,601376,587.28125000000000000000
61,50,4,2,0.2,1e-05,1e-06,10,621328,606.76562500000000000000
112,50,4,2,0.2,1e-05,1e-06,10,629296,614.54687500000000000000
206,50,4,2,0.2,1e-05,1e-06,10,644016,628.92187500000000000000
379,50,4,2,0.2,1e-05,1e-06,10,644336,629.23437500000000000000
1623776,50,2,2,0.2,1e-05,1e-06,10,748368,730.82812500000000000000
695,50,4,2,0.2,1e-05,1e-06,10,653616,638.29687500000000000000
1274,50,4,2,0.2,1e-05,1e-06,10,625888,611.21875000000000000000
2335,50,4,2,0.2,1e-05,1e-06,10,659408,643.95312500000000000000
4281,50,4,2,0.2,1e-05,1e-06,10,651200,635.93750000000000000000
7847,50,4,2,0.2,1e-05,1e-06,10,629536,614.78125000000000000000
14384,50,4,2,0.2,1e-05,1e-06,10,653472,638.15625000000000000000
26366,50,4,2,0.2,1e-05,1e-06,10,697360,681.01562500000000000000
48329,50,4,2,0.2,1e-05,1e-06,10,704240,687.73437500000000000000
88586,50,4,2,0.2,1e-05,1e-06,10,725808,708.79687500000000000000
162377,50,4,2,0.2,1e-05,1e-06,10,690144,673.96875000000000000000
297635,50,4,2,0.2,1e-05,1e-06,10,694816,678.53125000000000000000
545559,50,4,2,0.2,1e-05,1e-06,10,711744,695.06250000000000000000
1e+06,50,4,2,0.2,1e-05,1e-06,10,728176,711.10937500000000000000
10,50,8,2,0.2,1e-05,1e-06,10,615376,600.95312500000000000000
18,50,8,2,0.2,1e-05,1e-06,10,624448,609.81250000000000000000
33,50,8,2,0.2,1e-05,1e-06,10,631328,616.53125000000000000000
61,50,8,2,0.2,1e-05,1e-06,10,648368,633.17187500000000000000
112,50,8,2,0.2,1e-05,1e-06,10,645824,630.68750000000000000000
206,50,8,2,0.2,1e-05,1e-06,10,643280,628.20312500000000000000
379,50,8,2,0.2,1e-05,1e-06,10,655408,640.04687500000000000000
695,50,8,2,0.2,1e-05,1e-06,10,651856,636.57812500000000000000
1274,50,8,2,0.2,1e-05,1e-06,10,669296,653.60937500000000000000
2335,50,8,2,0.2,1e-05,1e-06,10,640160,625.15625000000000000000
4281,50,8,2,0.2,1e-05,1e-06,10,676144,660.29687500000000000000
7847,50,8,2,0.2,1e-05,1e-06,10,653248,637.93750000000000000000
14384,50,8,2,0.2,1e-05,1e-06,10,664432,648.85937500000000000000
26366,50,8,2,0.2,1e-05,1e-06,10,675024,659.20312500000000000000
48329,50,8,2,0.2,1e-05,1e-06,10,676096,660.25000000000000000000
88586,50,8,2,0.2,1e-05,1e-06,10,749600,732.03125000000000000000
162377,50,8,2,0.2,1e-05,1e-06,10,796048,777.39062500000000000000
297635,50,8,2,0.2,1e-05,1e-06,10,880592,859.95312500000000000000
545559,50,8,2,0.2,1e-05,1e-06,10,734976,717.75000000000000000000
1e+06,50,8,2,0.2,1e-05,1e-06,10,830768,811.29687500000000000000
10,50,16,2,0.2,1e-05,1e-06,10,641424,626.39062500000000000000
18,50,16,2,0.2,1e-05,1e-06,10,642176,627.12500000000000000000
33,50,16,2,0.2,1e-05,1e-06,10,647712,632.53125000000000000000
61,50,16,2,0.2,1e-05,1e-06,10,643248,628.17187500000000000000
112,50,16,2,0.2,1e-05,1e-06,10,653856,638.53125000000000000000
206,50,16,2,0.2,1e-05,1e-06,10,646224,631.07812500000000000000
379,50,16,2,0.2,1e-05,1e-06,10,666720,651.09375000000000000000
695,50,16,2,0.2,1e-05,1e-06,10,660480,645.00000000000000000000
1274,50,16,2,0.2,1e-05,1e-06,10,666624,651.00000000000000000000
2335,50,16,2,0.2,1e-05,1e-06,10,666512,650.89062500000000000000
4281,50,16,2,0.2,1e-05,1e-06,10,670064,654.35937500000000000000
7847,50,16,2,0.2,1e-05,1e-06,10,672144,656.39062500000000000000
14384,50,16,2,0.2,1e-05,1e-06,10,662352,646.82812500000000000000
26366,50,16,2,0.2,1e-05,1e-06,10,691824,675.60937500000000000000
48329,50,16,2,0.2,1e-05,1e-06,10,682256,666.26562500000000000000
88586,50,16,2,0.2,1e-05,1e-06,10,731920,714.76562500000000000000
162377,50,16,2,0.2,1e-05,1e-06,10,723456,706.50000000000000000000
297635,50,16,2,0.2,1e-05,1e-06,10,804944,786.07812500000000000000
545559,50,16,2,0.2,1e-05,1e-06,10,813504,794.43750000000000000000
1e+06,50,16,2,0.2,1e-05,1e-06,10,804112,785.26562500000000000000
10,50,2,4,0.2,1e-05,1e-06,10,596560,582.57812500000000000000
18,50,2,4,0.2,1e-05,1e-06,10,606688,592.46875000000000000000
33,50,2,4,0.2,1e-05,1e-06,10,609152,594.87500000000000000000
61,50,2,4,0.2,1e-05,1e-06,10,616464,602.01562500000000000000
112,50,2,4,0.2,1e-05,1e-06,10,618960,604.45312500000000000000
206,50,2,4,0.2,1e-05,1e-06,10,650496,635.25000000000000000000
379,50,2,4,0.2,1e-05,1e-06,10,661792,646.28125000000000000000
695,50,2,4,0.2,1e-05,1e-06,10,651824,636.54687500000000000000
1274,50,2,4,0.2,1e-05,1e-06,10,658176,642.75000000000000000000
2335,50,2,4,0.2,1e-05,1e-06,10,647040,631.87500000000000000000
4281,50,2,4,0.2,1e-05,1e-06,10,651440,636.17187500000000000000
7847,50,2,4,0.2,1e-05,1e-06,10,674464,658.65625000000000000000
14384,50,2,4,0.2,1e-05,1e-06,10,705392,688.85937500000000000000
26366,50,2,4,0.2,1e-05,1e-06,10,781216,762.90625000000000000000
48329,50,2,4,0.2,1e-05,1e-06,10,771856,753.76562500000000000000
88586,50,2,4,0.2,1e-05,1e-06,10,741200,723.82812500000000000000
162377,50,2,4,0.2,1e-05,1e-06,10,753456,735.79687500000000000000
297635,50,2,4,0.2,1e-05,1e-06,10,702816,686.34375000000000000000
545559,50,2,4,0.2,1e-05,1e-06,10,773504,755.37500000000000000000
1e+06,50,2,4,0.2,1e-05,1e-06,10,761824,743.96875000000000000000
10,50,4,4,0.2,1e-05,1e-06,10,599296,585.25000000000000000000
18,50,4,4,0.2,1e-05,1e-06,10,614448,600.04687500000000000000
33,50,4,4,0.2,1e-05,1e-06,10,561856,548.68750000000000000000
61,50,4,4,0.2,1e-05,1e-06,10,585424,571.70312500000000000000
112,50,4,4,0.2,1e-05,1e-06,10,632272,617.45312500000000000000
206,50,4,4,0.2,1e-05,1e-06,10,649648,634.42187500000000000000
379,50,4,4,0.2,1e-05,1e-06,10,649536,634.31250000000000000000
695,50,4,4,0.2,1e-05,1e-06,10,651072,635.81250000000000000000
1274,50,4,4,0.2,1e-05,1e-06,10,671248,655.51562500000000000000
2335,50,4,4,0.2,1e-05,1e-06,10,662752,647.21875000000000000000
4281,50,4,4,0.2,1e-05,1e-06,10,628000,613.28125000000000000000
7847,50,4,4,0.2,1e-05,1e-06,10,633024,618.18750000000000000000
14384,50,4,4,0.2,1e-05,1e-06,10,714752,698.00000000000000000000
26366,50,4,4,0.2,1e-05,1e-06,10,765904,747.95312500000000000000
48329,50,4,4,0.2,1e-05,1e-06,10,722464,705.53125000000000000000
88586,50,4,4,0.2,1e-05,1e-06,10,770976,752.90625000000000000000
162377,50,4,4,0.2,1e-05,1e-06,10,800288,781.53125000000000000000
297635,50,4,4,0.2,1e-05,1e-06,10,721296,704.39062500000000000000
545559,50,4,4,0.2,1e-05,1e-06,10,769088,751.06250000000000000000
1e+06,50,4,4,0.2,1e-05,1e-06,10,746576,729.07812500000000000000
10,50,8,4,0.2,1e-05,1e-06,10,615184,600.76562500000000000000
18,50,8,4,0.2,1e-05,1e-06,10,632784,617.95312500000000000000
33,50,8,4,0.2,1e-05,1e-06,10,620208,605.67187500000000000000
61,50,8,4,0.2,1e-05,1e-06,10,649504,634.28125000000000000000
112,50,8,4,0.2,1e-05,1e-06,10,661088,645.59375000000000000000
206,50,8,4,0.2,1e-05,1e-06,10,651168,635.90625000000000000000
379,50,8,4,0.2,1e-05,1e-06,10,644336,629.23437500000000000000
695,50,8,4,0.2,1e-05,1e-06,10,653200,637.89062500000000000000
1274,50,8,4,0.2,1e-05,1e-06,10,664384,648.81250000000000000000
2335,50,8,4,0.2,1e-05,1e-06,10,656832,641.43750000000000000000
4281,50,8,4,0.2,1e-05,1e-06,10,613904,599.51562500000000000000
7847,50,8,4,0.2,1e-05,1e-06,10,668160,652.50000000000000000000
14384,50,8,4,0.2,1e-05,1e-06,10,678416,662.51562500000000000000
26366,50,8,4,0.2,1e-05,1e-06,10,686608,670.51562500000000000000
48329,50,8,4,0.2,1e-05,1e-06,10,702784,686.31250000000000000000
88586,50,8,4,0.2,1e-05,1e-06,10,747584,730.06250000000000000000
162377,50,8,4,0.2,1e-05,1e-06,10,753760,736.09375000000000000000
297635,50,8,4,0.2,1e-05,1e-06,10,694528,678.25000000000000000000
545559,50,8,4,0.2,1e-05,1e-06,10,757040,739.29687500000000000000
1e+06,50,8,4,0.2,1e-05,1e-06,10,725264,708.26562500000000000000
10,50,16,4,0.2,1e-05,1e-06,10,600864,586.78125000000000000000
18,50,16,4,0.2,1e-05,1e-06,10,594816,580.87500000000000000000
33,50,16,4,0.2,1e-05,1e-06,10,598560,584.53125000000000000000
61,50,16,4,0.2,1e-05,1e-06,10,605056,590.87500000000000000000
112,50,16,4,0.2,1e-05,1e-06,10,607168,592.93750000000000000000
206,50,16,4,0.2,1e-05,1e-06,10,609072,594.79687500000000000000
379,50,16,4,0.2,1e-05,1e-06,10,601104,587.01562500000000000000
695,50,16,4,0.2,1e-05,1e-06,10,615408,600.98437500000000000000
1274,50,16,4,0.2,1e-05,1e-06,10,653232,637.92187500000000000000
2335,50,16,4,0.2,1e-05,1e-06,10,610208,595.90625000000000000000
4281,50,16,4,0.2,1e-05,1e-06,10,637888,622.93750000000000000000
7847,50,16,4,0.2,1e-05,1e-06,10,656592,641.20312500000000000000
14384,50,16,4,0.2,1e-05,1e-06,10,651616,636.34375000000000000000
26366,50,16,4,0.2,1e-05,1e-06,10,677792,661.90625000000000000000
48329,50,16,4,0.2,1e-05,1e-06,10,639200,624.21875000000000000000
88586,50,16,4,0.2,1e-05,1e-06,10,638048,623.09375000000000000000
162377,50,16,4,0.2,1e-05,1e-06,10,693648,677.39062500000000000000
297635,50,16,4,0.2,1e-05,1e-06,10,804064,785.21875000000000000000
545559,50,16,4,0.2,1e-05,1e-06,10,761792,743.93750000000000000000
1e+06,50,16,4,0.2,1e-05,1e-06,10,833392,813.85937500000000000000
10,50,2,8,0.2,1e-05,1e-06,10,626688,612.00000000000000000000
18,50,2,8,0.2,1e-05,1e-06,10,607408,593.17187500000000000000
33,50,2,8,0.2,1e-05,1e-06,10,589072,575.26562500000000000000
61,50,2,8,0.2,1e-05,1e-06,10,607024,592.79687500000000000000
112,50,2,8,0.2,1e-05,1e-06,10,622320,607.73437500000000000000
206,50,2,8,0.2,1e-05,1e-06,10,641664,626.62500000000000000000
379,50,2,8,0.2,1e-05,1e-06,10,665600,650.00000000000000000000
695,50,2,8,0.2,1e-05,1e-06,10,651952,636.67187500000000000000
1274,50,2,8,0.2,1e-05,1e-06,10,652400,637.10937500000000000000
2335,50,2,8,0.2,1e-05,1e-06,10,650320,635.07812500000000000000
4281,50,2,8,0.2,1e-05,1e-06,10,651056,635.79687500000000000000
7847,50,2,8,0.2,1e-05,1e-06,10,693776,677.51562500000000000000
14384,50,2,8,0.2,1e-05,1e-06,10,695888,679.57812500000000000000
26366,50,2,8,0.2,1e-05,1e-06,10,765936,747.98437500000000000000
48329,50,2,8,0.2,1e-05,1e-06,10,766976,749.00000000000000000000
88586,50,2,8,0.2,1e-05,1e-06,10,707616,691.03125000000000000000
162377,50,2,8,0.2,1e-05,1e-06,10,638720,623.75000000000000000000
297635,50,2,8,0.2,1e-05,1e-06,10,716992,700.18750000000000000000
1e+06,50,2,8,0.2,1e-05,1e-06,10,775040,756.87500000000000000000
10,50,4,8,0.2,1e-05,1e-06,10,599696,585.64062500000000000000
18,50,4,8,0.2,1e-05,1e-06,10,612224,597.87500000000000000000
33,50,4,8,0.2,1e-05,1e-06,10,599552,585.50000000000000000000
61,50,4,8,0.2,1e-05,1e-06,10,615232,600.81250000000000000000
112,50,4,8,0.2,1e-05,1e-06,10,632896,618.06250000000000000000
