"","nrow","nfeatures","n_layers","neurons","p","opt_lr","opt_weight_decay","epochs"
"1",10,50,2,2,0.2,1e-05,1e-06,10
"2",18,50,2,2,0.2,1e-05,1e-06,10
"3",33,50,2,2,0.2,1e-05,1e-06,10
"4",61,50,2,2,0.2,1e-05,1e-06,10
"5",112,50,2,2,0.2,1e-05,1e-06,10
"6",206,50,2,2,0.2,1e-05,1e-06,10
"7",379,50,2,2,0.2,1e-05,1e-06,10
"8",695,50,2,2,0.2,1e-05,1e-06,10
"9",1274,50,2,2,0.2,1e-05,1e-06,10
"10",2335,50,2,2,0.2,1e-05,1e-06,10
"11",4281,50,2,2,0.2,1e-05,1e-06,10
"12",7847,50,2,2,0.2,1e-05,1e-06,10
"13",14384,50,2,2,0.2,1e-05,1e-06,10
"14",26366,50,2,2,0.2,1e-05,1e-06,10
"15",48329,50,2,2,0.2,1e-05,1e-06,10
"16",88586,50,2,2,0.2,1e-05,1e-06,10
"17",162377,50,2,2,0.2,1e-05,1e-06,10
"18",297635,50,2,2,0.2,1e-05,1e-06,10
"19",545559,50,2,2,0.2,1e-05,1e-06,10
"20",1e+06,50,2,2,0.2,1e-05,1e-06,10
"21",10,50,4,2,0.2,1e-05,1e-06,10
"22",18,50,4,2,0.2,1e-05,1e-06,10
"23",33,50,4,2,0.2,1e-05,1e-06,10
"24",61,50,4,2,0.2,1e-05,1e-06,10
"25",112,50,4,2,0.2,1e-05,1e-06,10
"26",206,50,4,2,0.2,1e-05,1e-06,10
"27",379,50,4,2,0.2,1e-05,1e-06,10
"28",695,50,4,2,0.2,1e-05,1e-06,10
"29",1274,50,4,2,0.2,1e-05,1e-06,10
"30",2335,50,4,2,0.2,1e-05,1e-06,10
"31",4281,50,4,2,0.2,1e-05,1e-06,10
"32",7847,50,4,2,0.2,1e-05,1e-06,10
"33",14384,50,4,2,0.2,1e-05,1e-06,10
"34",26366,50,4,2,0.2,1e-05,1e-06,10
"35",48329,50,4,2,0.2,1e-05,1e-06,10
"36",88586,50,4,2,0.2,1e-05,1e-06,10
"37",162377,50,4,2,0.2,1e-05,1e-06,10
"38",297635,50,4,2,0.2,1e-05,1e-06,10
"39",545559,50,4,2,0.2,1e-05,1e-06,10
"40",1e+06,50,4,2,0.2,1e-05,1e-06,10
"41",10,50,8,2,0.2,1e-05,1e-06,10
"42",18,50,8,2,0.2,1e-05,1e-06,10
"43",33,50,8,2,0.2,1e-05,1e-06,10
"44",61,50,8,2,0.2,1e-05,1e-06,10
"45",112,50,8,2,0.2,1e-05,1e-06,10
"46",206,50,8,2,0.2,1e-05,1e-06,10
"47",379,50,8,2,0.2,1e-05,1e-06,10
"48",695,50,8,2,0.2,1e-05,1e-06,10
"49",1274,50,8,2,0.2,1e-05,1e-06,10
"50",2335,50,8,2,0.2,1e-05,1e-06,10
"51",4281,50,8,2,0.2,1e-05,1e-06,10
"52",7847,50,8,2,0.2,1e-05,1e-06,10
"53",14384,50,8,2,0.2,1e-05,1e-06,10
"54",26366,50,8,2,0.2,1e-05,1e-06,10
"55",48329,50,8,2,0.2,1e-05,1e-06,10
"56",88586,50,8,2,0.2,1e-05,1e-06,10
"57",162377,50,8,2,0.2,1e-05,1e-06,10
"58",297635,50,8,2,0.2,1e-05,1e-06,10
"59",545559,50,8,2,0.2,1e-05,1e-06,10
"60",1e+06,50,8,2,0.2,1e-05,1e-06,10
"61",10,50,16,2,0.2,1e-05,1e-06,10
"62",18,50,16,2,0.2,1e-05,1e-06,10
"63",33,50,16,2,0.2,1e-05,1e-06,10
"64",61,50,16,2,0.2,1e-05,1e-06,10
"65",112,50,16,2,0.2,1e-05,1e-06,10
"66",206,50,16,2,0.2,1e-05,1e-06,10
"67",379,50,16,2,0.2,1e-05,1e-06,10
"68",695,50,16,2,0.2,1e-05,1e-06,10
"69",1274,50,16,2,0.2,1e-05,1e-06,10
"70",2335,50,16,2,0.2,1e-05,1e-06,10
"71",4281,50,16,2,0.2,1e-05,1e-06,10
"72",7847,50,16,2,0.2,1e-05,1e-06,10
"73",14384,50,16,2,0.2,1e-05,1e-06,10
"74",26366,50,16,2,0.2,1e-05,1e-06,10
"75",48329,50,16,2,0.2,1e-05,1e-06,10
"76",88586,50,16,2,0.2,1e-05,1e-06,10
"77",162377,50,16,2,0.2,1e-05,1e-06,10
"78",297635,50,16,2,0.2,1e-05,1e-06,10
"79",545559,50,16,2,0.2,1e-05,1e-06,10
"80",1e+06,50,16,2,0.2,1e-05,1e-06,10
"81",10,50,2,4,0.2,1e-05,1e-06,10
"82",18,50,2,4,0.2,1e-05,1e-06,10
"83",33,50,2,4,0.2,1e-05,1e-06,10
"84",61,50,2,4,0.2,1e-05,1e-06,10
"85",112,50,2,4,0.2,1e-05,1e-06,10
"86",206,50,2,4,0.2,1e-05,1e-06,10
"87",379,50,2,4,0.2,1e-05,1e-06,10
"88",695,50,2,4,0.2,1e-05,1e-06,10
"89",1274,50,2,4,0.2,1e-05,1e-06,10
"90",2335,50,2,4,0.2,1e-05,1e-06,10
"91",4281,50,2,4,0.2,1e-05,1e-06,10
"92",7847,50,2,4,0.2,1e-05,1e-06,10
"93",14384,50,2,4,0.2,1e-05,1e-06,10
"94",26366,50,2,4,0.2,1e-05,1e-06,10
"95",48329,50,2,4,0.2,1e-05,1e-06,10
"96",88586,50,2,4,0.2,1e-05,1e-06,10
"97",162377,50,2,4,0.2,1e-05,1e-06,10
"98",297635,50,2,4,0.2,1e-05,1e-06,10
"99",545559,50,2,4,0.2,1e-05,1e-06,10
"100",1e+06,50,2,4,0.2,1e-05,1e-06,10
"101",10,50,4,4,0.2,1e-05,1e-06,10
"102",18,50,4,4,0.2,1e-05,1e-06,10
"103",33,50,4,4,0.2,1e-05,1e-06,10
"104",61,50,4,4,0.2,1e-05,1e-06,10
"105",112,50,4,4,0.2,1e-05,1e-06,10
"106",206,50,4,4,0.2,1e-05,1e-06,10
"107",379,50,4,4,0.2,1e-05,1e-06,10
"108",695,50,4,4,0.2,1e-05,1e-06,10
"109",1274,50,4,4,0.2,1e-05,1e-06,10
"110",2335,50,4,4,0.2,1e-05,1e-06,10
"111",4281,50,4,4,0.2,1e-05,1e-06,10
"112",7847,50,4,4,0.2,1e-05,1e-06,10
"113",14384,50,4,4,0.2,1e-05,1e-06,10
"114",26366,50,4,4,0.2,1e-05,1e-06,10
"115",48329,50,4,4,0.2,1e-05,1e-06,10
"116",88586,50,4,4,0.2,1e-05,1e-06,10
"117",162377,50,4,4,0.2,1e-05,1e-06,10
"118",297635,50,4,4,0.2,1e-05,1e-06,10
"119",545559,50,4,4,0.2,1e-05,1e-06,10
"120",1e+06,50,4,4,0.2,1e-05,1e-06,10
"121",10,50,8,4,0.2,1e-05,1e-06,10
"122",18,50,8,4,0.2,1e-05,1e-06,10
