nrow,nfeatures,n_blocks,d_block,d_hidden_multiplier,dropout1,dropout2,lr,weight_decay,epochs,rss_kb,rss_mib
100,1,4,64,1,0.2,0.2,1e-05,1e-06,10,664096,648.53125000000000000000
1000,1,4,64,1,0.2,0.2,1e-05,1e-06,10,837232,817.60937500000000000000
5000,1,4,64,1,0.2,0.2,1e-05,1e-06,10,840720,821.01562500000000000000
10000,1,4,64,1,0.2,0.2,1e-05,1e-06,10,839584,819.90625000000000000000
50000,1,4,64,1,0.2,0.2,1e-05,1e-06,10,893536,872.59375000000000000000
1e+05,1,4,64,1,0.2,0.2,1e-05,1e-06,10,885792,865.03125000000000000000
100,10,4,64,1,0.2,0.2,1e-05,1e-06,10,680592,664.64062500000000000000
1000,10,4,64,1,0.2,0.2,1e-05,1e-06,10,797520,778.82812500000000000000
5000,10,4,64,1,0.2,0.2,1e-05,1e-06,10,861616,841.42187500000000000000
10000,10,4,64,1,0.2,0.2,1e-05,1e-06,10,890880,870.00000000000000000000
50000,10,4,64,1,0.2,0.2,1e-05,1e-06,10,912672,891.28125000000000000000
1e+05,10,4,64,1,0.2,0.2,1e-05,1e-06,10,880928,860.28125000000000000000
100,50,4,64,1,0.2,0.2,1e-05,1e-06,10,708032,691.43750000000000000000
1000,50,4,64,1,0.2,0.2,1e-05,1e-06,10,855664,835.60937500000000000000
5000,50,4,64,1,0.2,0.2,1e-05,1e-06,10,856944,836.85937500000000000000
10000,50,4,64,1,0.2,0.2,1e-05,1e-06,10,920304,898.73437500000000000000
50000,50,4,64,1,0.2,0.2,1e-05,1e-06,10,895696,874.70312500000000000000
1e+05,50,4,64,1,0.2,0.2,1e-05,1e-06,10,887024,866.23437500000000000000
100,100,4,64,1,0.2,0.2,1e-05,1e-06,10,682880,666.87500000000000000000
1000,100,4,64,1,0.2,0.2,1e-05,1e-06,10,864384,844.12500000000000000000
5000,100,4,64,1,0.2,0.2,1e-05,1e-06,10,947888,925.67187500000000000000
10000,100,4,64,1,0.2,0.2,1e-05,1e-06,10,892304,871.39062500000000000000
50000,100,4,64,1,0.2,0.2,1e-05,1e-06,10,900720,879.60937500000000000000
1e+05,100,4,64,1,0.2,0.2,1e-05,1e-06,10,869968,849.57812500000000000000
100,500,4,64,1,0.2,0.2,1e-05,1e-06,10,686800,670.70312500000000000000
1000,500,4,64,1,0.2,0.2,1e-05,1e-06,10,874464,853.96875000000000000000
5000,500,4,64,1,0.2,0.2,1e-05,1e-06,10,868976,848.60937500000000000000
10000,500,4,64,1,0.2,0.2,1e-05,1e-06,10,853248,833.25000000000000000000
