task_id,instances,features,classes,n,error_rate,logloss_automl,logloss_autogluon,logloss_autosklearn,logloss_ranger,logloss_featureless,logloss_nsrb_catboost,logloss_nsrb_xgboost,logloss_nsrb_lightgbm,se_autogluon,se_automl,se_autosklearn,se_featureless,se_nsrb_catboost,se_nsrb_lightgbm,se_nsrb_xgboost,se_ranger
vehicle,846,19,4,4489,0.00467810202717755,0.246133163650464,0.2975602,0.3287371,0.510561282581669,1.38568463508668,0.417346228374785,0.403397127819529,0.400828178937227,,0.00698817843953814,0.00954073621600206,8.75196107532944e-05,,,,0.0100907914175518
cnae-9,1080,857,9,1925,0.0592207792207792,0.1978110074977,0.13670169,0.1433449,0.383605591195359,2.19722457733622,0.183215789910806,0.193544966806869,0.136017340635148,,0.0224507384704561,0.0136468275592616,0,,,,0.0103694601320938
car,1728,7,4,5673,0.00176273576590869,0.00336325567640855,0.00445799303,0.00165220439,0.106281337377552,0.835786293921271,0.000142381808763811,0.00867447124562228,0.00903699561744691,,0.00111708308672078,0.00112451410025991,0.00193086739498989,,,,0.00318904353062951
mfeat-factors,2000,217,10,4634,0.0336642209753992,0.104556663597505,0.06739112,0.07379011,0.254825952589775,2.30258509299405,0.0764777469290919,0.0868363708318213,0.0750898112199451,,0.0156109055218984,0.00955443793852946,0,,,,0.0068126625016406
segment,2310,20,7,4471,0.0123014985461865,0.164644724021799,0.05380231,0.06224911,0.185014501231642,1.94591014905531,0.144107199170834,0.156203856960625,0.148784204207072,,0.0124020486003542,0.00818762151706872,0,,,,0.00894840175189936
fabert,8237,801,7,3137,0,0.779805238351973,0.6823213,0.732713,0.81957240919859,1.87470714450971,0.735900488762994,0.758233912235071,0.736252296217865,,0.0141495553725495,0.00829106589582358,0.000191327211443389,,,,0.00730733440520438
robert,10000,7201,10,510,0.17843137254902,1.29986025246257,1.265303,1.38254,1.703142824254,2.30224253913693,,1.25048427998283,1.23802438049629,,0.0095081263259262,0.00989761284350929,1.01225183054029e-05,,,,0.00456315597417938
dilbert,10000,2001,5,1019,0.0716388616290481,0.0212365465041528,0.011531044,0.02948814,0.345697306635468,1.60913038836964,,0.0262178686924159,0.0173229095620056,,0.00379598606715973,0.0024238032368894,6.88809046860954e-06,,,,0.0029826048870314
jungle_chess_2pcs_raw_endgame_complete,44819,7,3,10897,0.0100945214279159,0.220940363696335,0.006359055,0.202931,0.365947425082544,0.935131176802189,0.225096653055923,0.216816828439813,0.21023144507842,,0.00228145184669591,0.00663809773956365,5.64241219502468e-05,,,,0.00200385029090546
shuttle,58000,10,7,10191,0.120007850063782,0.000433851922532271,0.0004103703,0.00019398261,0.000999513993301768,0.665633632977827,0.000172939847837588,0.000338603285323662,0.000304703105793594,,0.000105959044951895,6.52572911754825e-05,0.000197431059510338,,,,7.7661666167531e-05
volkert,58310,181,10,1087,0.0965961361545538,0.798647525057554,0.6736234,0.8331933,0.993226353940388,2.05260271776454,,0.772378708579234,0.722045503644117,,0.00455993559043237,0.0119893109708885,6.62318081584586e-05,,,,0.00275743097891916
helena,65196,28,100,478,0.50418410041841,2.62423067028888,2.469964,2.48524,2.86122418928546,4.14341318196952,,,,,0.0133154206797103,0.00973240360856452,0.000229507436082131,,,,0.0107391517203801
connect-4,67557,43,3,3973,0.0072992700729927,0.319769844402902,0.29332,0.3424652,0.455782398418385,0.84456127352411,0.307335718368707,0.304755426273849,0.307800546798303,,0.00238211608853492,0.00396902146014746,2.55615445901264e-05,,,,0.00162967435011445
Fashion-MNIST,70000,785,10,588,0.185374149659864,0.252519395641236,0.2166764,0.2470057,0.368519094425655,2.30258509299405,,0.235421502589961,,,0.00489295048550023,0.00388432476056722,0,,,,0.00187728299184983
jannis,83733,55,4,1838,0.0201305767138194,0.673021499200483,0.6470854,0.6723501,0.732399719936977,1.10866842074873,0.666277640906523,0.667610014709809,0.667920427068077,,0.00202470355108686,0.0014239732086275,5.79329889946298e-05,,,,0.00159798786642093
dionis,416188,61,355,337,0.670623145400593,2.44416591642388,0.2478194,0.5234148,5.85739174873652,5.85739174873652,,,,,0.76552476216906,0.0456489105143936,1.34855287420444e-05,,,,1.34855287420444e-05
covertype,581012,55,7,536,0.0111940298507463,0.0883230133679485,0.05741523,0.0946388,0.60940715506443,1.20516053044485,,,,,0.00133009751186704,0.00323271539517821,3.58581462169515e-06,,,,0.000486609053327916
